Date,Open,High,Low,Close,Volume
2015-03-01 00:00:00,253.45,253.45,252.65,253.0,234.87657522000003
2015-03-01 01:00:00,253.0,253.0,252.45,252.5,73.03534921
2015-03-01 02:00:00,252.73,252.73,251.4,252.0,160.63599694999994
2015-03-01 03:00:00,252.0,252.97,251.57,251.57,116.59304811000001
2015-03-01 04:00:00,251.57,252.87,251.2,252.07,72.71430634000001
2015-03-01 05:00:00,252.0,253.0,251.57,252.46,98.1675383
2015-03-01 06:00:00,252.46,253.0,252.4,253.0,32.11006063
2015-03-01 07:00:00,252.99,253.47,252.0,252.0,115.41416701
2015-03-01 08:00:00,252.13,252.6,251.57,252.29,68.81449891000003
2015-03-01 09:00:00,252.27,252.59,251.75,252.56,57.84423049000001
2015-03-01 10:00:00,252.55,252.59,251.57,252.04,56.824268800000006
2015-03-01 11:00:00,252.46,252.48,252.0,252.16,76.13919855000002
2015-03-01 12:00:00,252.34,252.34,245.0,248.0,1133.9158626800001
2015-03-01 13:00:00,247.87,248.47,246.5,247.14,276.52945052
2015-03-01 14:00:00,248.14,248.69,247.41,248.39,174.59312239000002
2015-03-01 15:00:00,248.0,249.0,247.9,247.99,389.50060685
2015-03-01 16:00:00,247.91,247.98,245.41,247.49,340.22839245
2015-03-01 17:00:00,247.49,248.0,246.76,247.89,120.46067094
2015-03-01 18:00:00,247.89,248.7,246.83,247.87,218.07998581000004
2015-03-01 19:00:00,247.31,248.6,246.26,247.7,279.08566801
2015-03-01 20:00:00,247.05,247.5,245.68,247.49,176.18350411000006
2015-03-01 21:00:00,247.5,259.92,247.47,257.01,2222.8392652800003
2015-03-01 22:00:00,257.0,260.25,255.23,256.1,2245.35992363
2015-03-01 23:00:00,257.44,259.99,254.42,258.34,938.2328688
2015-03-02 00:00:00,257.52,258.84,256.38,257.69,211.82356396
2015-03-02 01:00:00,257.69,257.99,255.61,257.5,280.4381766900001
2015-03-02 02:00:00,257.07,257.55,256.9,257.55,164.23327011
2015-03-02 03:00:00,257.5,258.88,257.5,258.71,87.41548174
2015-03-02 04:00:00,258.71,258.93,256.47,258.58,196.38570825999992
2015-03-02 05:00:00,258.57,258.65,257.72,258.29,92.82099955999999
2015-03-02 06:00:00,258.29,260.5,258.01,260.11,646.03726872
2015-03-02 07:00:00,260.2,262.33,258.7,261.14,1960.41135499
2015-03-02 08:00:00,261.58,261.99,260.07,260.62,319.15910617000014
2015-03-02 09:00:00,260.61,260.8,258.32,260.3,444.9233905899999
2015-03-02 10:00:00,260.3,260.99,258.5,258.51,248.05582879999994
2015-03-02 11:00:00,258.51,259.83,257.47,257.81,340.53908587
2015-03-02 12:00:00,258.21,261.4,257.81,261.2,650.6967014400003
2015-03-02 13:00:00,261.27,261.9,260.54,261.49,566.0006644900003
2015-03-02 14:00:00,261.49,261.98,259.36,261.0,324.0265376700001
2015-03-02 15:00:00,261.14,262.33,260.74,262.0,743.9695471299998
2015-03-02 16:00:00,262.0,266.8,261.66,263.68,2034.8022888799994
2015-03-02 17:00:00,263.18,264.06,262.42,264.0,427.1354939800001
2015-03-02 18:00:00,263.83,264.96,263.1,264.96,465.70490715
2015-03-02 19:00:00,264.96,272.17,264.81,270.89,2745.0671755000008
2015-03-02 20:00:00,270.83,273.78,268.94,273.78,1231.67298977
2015-03-02 21:00:00,273.77,275.0,271.54,274.14,1175.2957515900005
2015-03-02 22:00:00,273.51,274.14,272.0,272.84,979.4174587499998
2015-03-02 23:00:00,272.82,277.0,272.21,274.93,1679.2270422899999
2015-03-03 00:00:00,275.88,278.17,274.2,274.95,1100.2124903299998
2015-03-03 01:00:00,274.94,277.28,270.02,273.22,1427.366009950001
2015-03-03 02:00:00,273.15,275.0,273.01,273.75,225.44887615000002
2015-03-03 03:00:00,273.74,274.77,272.0,274.4,190.19627545999995
2015-03-03 04:00:00,274.5,277.07,274.09,276.51,201.80007988999998
2015-03-03 05:00:00,276.51,276.51,272.06,273.57,296.40216409000004
2015-03-03 06:00:00,274.74,275.01,272.11,274.01,153.20820852999995
2015-03-03 07:00:00,274.01,274.4,270.5,273.15,521.11142845
2015-03-03 08:00:00,273.32,275.01,273.32,274.23,345.4081125399999
2015-03-03 09:00:00,274.23,274.99,273.6,274.35,243.32046162999995
2015-03-03 10:00:00,274.52,276.15,274.03,275.97,508.75044203000004
2015-03-03 11:00:00,275.6,280.0,268.0,269.53,3055.18389485
2015-03-03 12:00:00,269.51,272.05,268.0,271.02,1427.2881442199996
2015-03-03 13:00:00,271.02,273.06,269.46,272.51,765.2486834899997
2015-03-03 14:00:00,272.8,272.89,265.89,267.98,1618.6102302100003
2015-03-03 15:00:00,267.95,269.1,267.74,268.35,582.3695048799998
2015-03-03 16:00:00,268.3,268.99,267.41,268.8,508.43203557000004
2015-03-03 17:00:00,268.8,276.83,268.5,276.83,1439.4906566199998
2015-03-03 18:00:00,276.01,280.0,274.64,279.0,1662.9694082099998
2015-03-03 19:00:00,279.0,282.5,276.81,280.79,1569.1816638699993
2015-03-03 20:00:00,280.79,282.21,277.01,280.0,944.9518252900001
2015-03-03 21:00:00,280.0,284.95,280.0,282.0,1409.1521161599994
2015-03-03 22:00:00,282.0,283.87,280.0,281.49,477.5540229100001
2015-03-03 23:00:00,281.5,281.5,277.71,281.0,303.66414133999996
2015-03-04 00:00:00,281.03,282.0,279.45,281.44,361.15969851000006
2015-03-04 01:00:00,281.44,283.15,280.26,282.01,106.7021713
2015-03-04 02:00:00,282.01,282.4,280.47,281.88,127.27865293
2015-03-04 03:00:00,281.6,281.6,276.0,277.42,359.18022916
2015-03-04 04:00:00,277.42,280.5,276.0,280.48,208.14512744999993
2015-03-04 05:00:00,280.52,280.98,278.58,278.81,128.36694569000005
2015-03-04 06:00:00,279.52,282.0,274.0,276.27,885.9726922100003
2015-03-04 07:00:00,275.04,277.47,275.0,276.88,170.25217275000006
2015-03-04 08:00:00,276.96,276.98,274.12,276.35,209.98458871000003
2015-03-04 09:00:00,276.36,276.45,269.77,274.83,926.9503438800004
2015-03-04 10:00:00,274.5,277.24,270.18,276.06,480.02055785000005
2015-03-04 11:00:00,276.06,279.52,272.68,278.58,623.1129567699999
2015-03-04 12:00:00,278.55,281.7,276.03,278.81,601.9192147199999
2015-03-04 13:00:00,278.72,280.49,277.9,279.47,285.6198877600001
2015-03-04 14:00:00,279.47,281.3,279.2,280.99,358.2201256300001
2015-03-04 15:00:00,281.0,283.88,274.9,279.5,1446.6488325700002
2015-03-04 16:00:00,279.5,281.31,278.45,280.69,645.7870045600002
2015-03-04 17:00:00,280.69,282.0,278.0,281.09,627.4841376900002
2015-03-04 18:00:00,281.29,281.87,278.0,279.38,262.16803243999993
