,Open,High,Low,Close,Volume
2015-03-01,255.73,262.0,244.88,260.24,10419.57555991001
2015-03-02,260.29,279.8,256.6,276.7,18217.73146451998
2015-03-03,276.79,289.5,267.07,283.27,18829.854890770002
2015-03-04,283.09,287.0,267.39,273.37,14753.679508369994
2015-03-05,273.38,281.09,262.49,276.86,11638.13678252001
2015-03-06,276.54,280.0,269.12,273.23,10144.840131539997
2015-03-07,273.22,279.44,270.55,276.89,6221.991415350027
2015-03-08,276.86,278.97,270.29,275.5,5138.838630600016
2015-03-09,275.47,294.42,275.0,290.19,13736.253045460015
2015-03-10,290.2,299.48,289.82,293.47,16271.021870070006
2015-03-11,293.46,297.8,290.51,296.99,9776.529495440016
2015-03-12,296.98,298.9,291.87,296.05,9640.935616760005
2015-03-13,295.87,296.43,284.0,284.0,12043.693022859998
2015-03-14,284.37,289.0,280.86,283.95,7282.59643311001
2015-03-15,283.77,289.24,282.5,288.0,4415.880155859997
2015-03-16,287.99,294.99,287.41,292.37,8869.056835510017
2015-03-17,292.36,293.69,284.01,286.74,7791.726809200017
2015-03-18,286.63,287.0,250.0,258.5,18679.03700841002
2015-03-19,258.62,266.8,249.2,263.05,16404.76508476
2015-03-20,263.06,267.42,259.31,263.31,7566.590872409998
2015-03-21,263.31,263.62,256.66,261.9,6016.588187960015
2015-03-22,261.57,271.27,259.71,269.45,5819.245293240002
2015-03-23,269.25,273.99,260.81,267.53,13635.269852890016
2015-03-24,267.54,268.51,244.86,246.15,17690.106147930015
2015-03-25,246.29,249.99,234.51,246.88,11846.581541900016
2015-03-26,246.99,254.9,244.92,249.88,10904.288267479997
2015-03-27,249.76,250.99,246.44,247.81,8447.892958320012
2015-03-28,247.93,254.99,247.81,253.52,5888.0487046900225
2015-03-29,253.6,254.0,241.0,243.69,8522.39278477001
2015-03-30,243.6,250.06,237.94,248.78,11491.654083250016
2015-03-31,248.78,249.98,242.87,245.5,8102.267003160016
2015-04-01,245.5,248.22,241.07,247.87,9892.613475360005
2015-04-02,247.5,255.24,245.8,254.39,8681.547172219998
2015-04-03,254.79,257.43,252.59,254.84,7181.452872770007
2015-04-04,255.0,256.6,251.26,254.36,4316.351312189998
2015-04-05,254.29,262.0,252.06,261.47,5194.855040949999
2015-04-06,261.49,263.0,255.0,256.85,7500.093841710003
2015-04-07,256.84,258.7,253.45,254.27,7876.159407559995
2015-04-08,254.23,255.75,244.29,246.58,7494.495348270001
2015-04-09,246.81,248.16,239.02,244.74,7622.991632379996
2015-04-10,244.46,244.66,232.35,236.78,11482.961919289997
2015-04-11,236.78,239.99,234.77,237.91,5651.46605488
2015-04-12,237.91,239.16,234.02,237.55,4387.154726400002
2015-04-13,237.57,238.0,220.77,225.73,11641.757952319991
2015-04-14,225.42,226.9,216.92,221.05,12054.596084069999
