,Open,High,Low,Close,Volume
2015-03-01 00:00:00,255.73,255.77,254.14,254.96,331.0871538800001
2015-03-01 01:00:00,254.99,255.0,254.3,254.42,224.4782686
2015-03-01 02:00:00,254.41,254.6,254.0,254.44,210.4470704500001
2015-03-01 03:00:00,254.44,255.35,254.18,254.7,225.93031556000003
2015-03-01 04:00:00,254.74,255.33,254.64,255.0,204.97200407
2015-03-01 05:00:00,255.09,255.5,254.75,254.79,227.08732881999995
2015-03-01 06:00:00,254.79,254.95,254.34,254.87,189.14393055000005
2015-03-01 07:00:00,254.88,254.95,254.34,254.55,124.81876560000002
2015-03-01 08:00:00,254.68,254.83,254.04,254.27,184.17238938999998
2015-03-01 09:00:00,254.45,254.69,254.0,254.51,93.31105508999998
2015-03-01 10:00:00,254.01,254.54,253.77,254.13,92.61859377999998
2015-03-01 11:00:00,254.31,254.6,254.0,254.33,27.70900000000001
2015-03-01 12:00:00,254.27,254.33,244.88,247.75,1207.1090313999998
2015-03-01 13:00:00,247.57,248.52,247.0,247.99,259.17875487999993
2015-03-01 14:00:00,247.91,249.11,247.85,248.65,169.53808245
2015-03-01 15:00:00,248.91,250.92,248.65,249.0,377.4652008899999
2015-03-01 16:00:00,249.0,249.11,247.09,248.63,403.9554687799999
2015-03-01 17:00:00,248.52,249.94,248.51,249.11,305.64303498000015
2015-03-01 18:00:00,249.16,250.11,248.64,249.48,465.9521741899999
2015-03-01 19:00:00,249.48,249.68,248.83,248.83,213.91580245
2015-03-01 20:00:00,248.99,250.0,248.31,249.52,488.65526160999985
2015-03-01 21:00:00,249.32,261.01,248.88,258.85,1925.0058672399998
2015-03-01 22:00:00,258.8,261.81,253.4,259.79,1501.3483707899998
2015-03-01 23:00:00,259.57,262.0,257.75,260.24,966.0326344599999
2015-03-02 00:00:00,260.29,261.47,257.25,259.99,723.0805940099999
2015-03-02 01:00:00,259.99,260.15,258.47,258.8,455.8588714
2015-03-02 02:00:00,258.68,259.81,258.0,259.46,322.27062068
2015-03-02 03:00:00,259.3,261.01,258.98,261.0,485.56505049000003
2015-03-02 04:00:00,260.87,263.13,259.34,260.48,561.3358377499999
2015-03-02 05:00:00,260.58,262.46,260.0,261.04,824.1369126899999
2015-03-02 06:00:00,261.0,263.11,258.21,262.12,692.8583346300003
2015-03-02 07:00:00,262.48,262.48,260.73,261.64,549.9131625100001
2015-03-02 08:00:00,261.77,262.1,261.0,261.09,240.88597537
2015-03-02 09:00:00,261.09,261.5,260.5,261.17,246.08225729000006
2015-03-02 10:00:00,260.98,261.55,260.5,260.69,149.40917278000003
2015-03-02 11:00:00,260.86,261.94,258.71,259.97,305.8453692000001
2015-03-02 12:00:00,260.12,261.71,256.6,261.68,453.8535376099998
