,Open,High,Low,Close,Volume
2015-03-01 00:00:00,255.73,255.77,254.0,254.7,991.9428084900002
2015-03-01 04:00:00,254.74,255.5,254.34,254.55,746.0220290400001
2015-03-01 08:00:00,254.68,254.83,253.77,254.33,397.81103825999975
2015-03-01 12:00:00,254.27,254.33,244.88,249.0,2013.2910696199995
2015-03-01 16:00:00,249.0,250.11,247.09,248.83,1389.4664803999997
2015-03-01 20:00:00,248.99,262.0,248.31,260.24,4881.0421340999965
2015-03-02 00:00:00,260.29,261.47,257.25,261.0,1986.7751365800002
2015-03-02 04:00:00,260.87,263.13,258.21,261.64,2628.24424758
2015-03-02 08:00:00,261.77,262.1,258.71,259.97,942.2227746399996
2015-03-02 12:00:00,260.12,263.0,256.6,262.49,1717.9123977999996
2015-03-02 16:00:00,262.49,273.15,262.01,270.38,5841.316072499997
2015-03-02 20:00:00,270.93,279.8,270.0,276.7,5101.260835419999
2015-03-03 00:00:00,276.79,278.87,271.0,276.24,3303.5046748700006
2015-03-03 04:00:00,276.24,278.5,274.15,275.55,1729.5389901999997
2015-03-03 08:00:00,275.98,280.0,269.71,270.72,1924.7292006399991
2015-03-03 12:00:00,270.47,274.25,267.07,268.74,2920.9750288200016
2015-03-03 16:00:00,268.89,285.0,267.94,283.65,4782.64218107
2015-03-03 20:00:00,283.65,289.5,281.5,283.27,4168.4648151699985
2015-03-04 00:00:00,283.09,287.0,277.26,279.38,2849.955630959999
2015-03-04 04:00:00,279.92,283.12,277.75,278.75,2353.2591888700013
2015-03-04 08:00:00,278.89,280.26,277.0,279.25,922.5942704600001
2015-03-04 12:00:00,279.22,284.99,276.42,282.35,2128.9475379700007
2015-03-04 16:00:00,282.3,285.0,279.01,280.5,2212.9267660700007
2015-03-04 20:00:00,280.24,281.05,267.39,273.37,4285.996114040002
2015-03-05 00:00:00,273.38,274.68,269.43,270.5,1599.8850193100006
2015-03-05 04:00:00,270.5,273.13,268.99,270.95,1512.551089570001
2015-03-05 08:00:00,270.9,272.0,267.0,268.96,584.9676071599998
2015-03-05 12:00:00,268.77,271.96,266.24,270.14,1357.85466962
2015-03-05 16:00:00,269.88,270.36,262.49,267.39,2765.518276649999
2015-03-05 20:00:00,267.45,281.09,267.0,276.86,3817.3601202099985
2015-03-06 00:00:00,276.54,280.0,275.0,276.51,1935.6037209900003
2015-03-06 04:00:00,276.57,277.14,270.2,270.94,1291.4176975899993
2015-03-06 08:00:00,270.94,274.04,270.21,271.38,474.41166023999983
