,Open,High,Low,Close,Volume
2015-03-01,255.73,262.0,244.88,260.24,10419.57555991001
2015-03-08,260.29,289.5,256.6,275.5,84945.07282366937
2015-03-15,275.47,299.48,275.0,288.0,73166.90963956034
2015-03-22,287.99,294.99,249.2,269.45,71147.01009149011
2015-03-29,269.25,273.99,234.51,243.69,76934.5802579796
2015-04-05,243.6,262.0,237.94,261.47,54860.740959900024
2015-04-12,261.49,263.0,232.35,237.55,52015.32293049016
2015-04-19,237.57,238.0,216.92,224.03,57146.76571517016
2015-04-26,224.03,238.6,215.56,221.27,51917.97981512018
2015-05-03,221.27,242.97,218.78,240.78,58814.802885519915
2015-05-10,240.88,247.6,228.38,241.57,53189.92871148988
2015-05-17,241.57,245.49,232.61,237.12,49637.987209929895
2015-05-24,237.1,242.0,231.53,240.82,42129.74717454998
2015-05-31,240.68,241.4,229.55,230.21,41397.0979011598
2015-06-07,230.18,230.99,221.58,223.89,45860.28383607988
2015-06-14,223.88,235.0,223.63,233.6,37410.48181802994
2015-06-21,233.6,259.46,233.6,244.66,48768.843674360214
2015-06-28,244.66,252.22,239.51,249.11,37986.89964873996
2015-07-05,249.11,275.25,249.09,271.74,54260.830156570075
2015-07-12,272.17,316.52,264.41,312.16,69086.96507602009
2015-07-19,312.19,312.91,272.64,275.61,50997.021972179726
2015-07-26,275.6,294.49,273.34,293.89,35615.19362712006
2015-08-02,293.88,298.0,277.26,282.62,35555.54637148006
2015-08-09,282.62,286.47,260.07,267.63,37460.17628596979
2015-08-16,267.6,272.4,255.67,259.2,39437.18225658002
2015-08-23,259.2,261.57,200.0,229.21,60496.37750135005
2015-08-30,229.23,236.18,198.02,229.39,72456.99505416947
2015-09-06,229.4,244.82,225.23,241.29,47676.105281680095
2015-09-13,241.26,247.82,229.72,230.82,42173.6769264399
2015-09-20,230.83,235.93,226.85,232.24,42263.09842046991
2015-09-27,232.26,237.62,224.45,233.58,45891.21141805997
2015-10-04,233.53,241.05,233.53,239.87,40289.38102101004
2015-10-11,239.87,250.0,237.5,249.02,44457.61460930009
2015-10-18,249.01,274.81,244.86,265.0,52081.03809971005
2015-10-25,265.0,295.93,262.05,284.97,48180.26882919001
2015-11-01,284.97,336.97,282.04,329.46,89668.76632545968
2015-11-08,329.45,499.99,326.07,373.83,173641.5321528788
2015-11-15,373.84,386.96,293.32,322.93,84345.35380432977
2015-11-22,322.94,340.72,311.23,323.71,44359.437774400125
2015-11-29,323.72,373.63,316.26,372.24,50252.61440465998
2015-12-06,372.25,401.01,347.55,387.55,61138.622212460185
2015-12-13,387.53,469.34,383.0,433.83,86517.61255439985
2015-12-20,433.38,465.6,429.12,442.22,239234.43419743993
2015-12-27,442.36,460.0,410.0,424.72,50493.881430470225
2016-01-03,424.73,437.56,418.0,431.91,35726.346826490015
2016-01-10,431.9,464.4,428.15,449.99,46977.77397739003
2016-01-17,449.99,452.65,350.92,378.46,81782.68047113979
2016-01-24,378.47,425.1,369.0,403.05,62749.646677830315
2016-01-31,403.05,403.05,363.25,367.95,50667.273073660064
2016-02-07,367.89,390.63,365.63,377.49,48708.26437372983
2016-02-14,377.47,406.92,361.1,406.59,55293.34854421003
2016-02-21,406.62,448.7,390.0,438.56,49697.77380626002
2016-02-28,438.57,440.9,410.0,433.73,45025.55543290989
2016-03-06,433.73,442.0,381.09,403.24,65971.19301775968
2016-03-13,403.24,421.3,395.0,412.52,49322.650006779775
2016-03-20,412.51,419.75,399.21,411.27,44574.871865690126
2016-03-27,411.25,426.5,406.89,425.3,35614.480707970026
2016-04-03,425.29,425.36,407.56,420.16,36719.66704396992
2016-04-10,420.08,424.65,415.51,423.4,34237.79589013009
2016-04-17,423.29,434.93,420.15,431.0,34325.313031699945
2016-04-24,431.08,465.0,428.44,464.46,43969.89493275978
