time,open,high,low,close,EMA,MA,MA,MA,MA,MA,Volume,Volume MA,RSI
2020-06-22T18:30:00Z,121.1,121.64,121,121.07,25308.08456369174,123.2868333333329,123.37299999999993,122.93825000000024,121.89600000000067,121.0119999999998,22279,28860.9,38.041503484289684
2020-06-22T19:30:00Z,121.15,121.26,120.91,121.01,27455.467650953393,123.11666666666623,123.41599999999994,122.78925000000027,121.70000000000066,121.0599999999998,36045,30446.2,37.74089565852858
2020-06-23T13:30:00Z,122.11,122.85,121.57,122.07,30255.374120762714,122.97266666666623,123.47024999999994,122.71125000000026,121.62500000000065,121.25599999999979,41455,31401.1,45.877769693126865
2020-06-23T14:30:00Z,122.05,122.06,120.93,121.68,28652.09929661017,122.80749999999956,123.49949999999994,122.61725000000027,121.45100000000066,121.37199999999977,22239,30307.9,43.61899059403477
2020-06-23T15:30:00Z,121.66,121.67,120.83,121.22,29841.079437288136,122.64833333333289,123.48049999999996,122.50375000000027,121.32600000000066,121.40999999999978,34597,27703.9,41.05166946510334
2020-06-23T16:30:00Z,121.235,121.235,120.66,120.85,28783.463549830507,122.4988333333329,123.47499999999998,122.35875000000026,121.18900000000065,121.3659999999998,24553,26965.6,39.06022630705742
2020-06-23T17:30:00Z,120.74,120.81,119.73,119.78,32591.570839864406,122.43649999999955,123.42774999999997,122.16475000000028,121.09000000000064,121.1199999999998,47824,29145.6,33.93357843549306
2020-06-23T18:30:00Z,119.8,119.83,119.23,119.56,34065.65667189153,122.39083333333289,123.24824999999998,121.93125000000028,120.93700000000065,120.6179999999998,39962,30617.6,32.9752584871848
2020-06-23T19:30:00Z,119.59,119.83,119.29,119.45,37795.32533751322,122.37366666666622,123.09812499999998,121.62225000000026,120.77200000000066,120.1719999999998,52714,34329.8,32.48132407918101
2020-06-24T13:30:00Z,118.21,118.22,116.83,117.47,51642.060270010574,122.3348333333329,122.89337499999999,121.24575000000024,120.41600000000066,119.4219999999998,107029,42869.7,25.17227695571019
2020-06-24T14:30:00Z,117.44,117.44,116.46,116.67,50507.648216008456,122.2958333333329,122.661125,120.93600000000026,119.97600000000068,118.58599999999979,45970,45238.8,22.927405727531777
2020-06-24T15:30:00Z,116.52,117.04,115.9,116.9,49045.31857280676,122.2748333333329,122.449625,120.63250000000028,119.5650000000007,118.00999999999979,43196,45953.9,24.998321554650076
