time,open,high,low,close,EMA,MA,MA,MA,MA,MA,Volume,Volume MA,RSI,Plot,Plot
2019-02-01T14:30:00Z,135.03,135.19,134.5,134.52,NaN,NaN,NaN,NaN,NaN,NaN,7582,NaN,NaN,NaN,NaN
2019-02-01T14:45:00Z,134.57,134.82,134.53,134.67,NaN,NaN,NaN,NaN,NaN,NaN,7700,NaN,NaN,NaN,NaN
2019-02-01T15:00:00Z,134.69,135.1,134.69,134.98,NaN,NaN,NaN,NaN,NaN,NaN,10385,NaN,NaN,NaN,NaN
2019-02-01T15:15:00Z,134.71,134.91,134.67,134.75,NaN,NaN,NaN,NaN,NaN,NaN,6689,NaN,NaN,NaN,NaN
2019-02-01T15:30:00Z,134.78,134.81,134.58,134.69,NaN,NaN,NaN,NaN,NaN,134.72199999999998,7600,NaN,NaN,NaN,NaN
2019-02-01T15:45:00Z,134.71,134.75,134.45,134.52,NaN,NaN,NaN,NaN,NaN,134.72199999999998,5800,NaN,NaN,NaN,NaN
2019-02-01T16:00:00Z,134.53,134.71,134.36,134.47,NaN,NaN,NaN,NaN,NaN,134.682,6598,NaN,NaN,NaN,NaN
2019-02-01T16:15:00Z,134.44,134.77,134.22,134.76,NaN,NaN,NaN,NaN,NaN,134.63799999999998,4900,NaN,NaN,NaN,NaN
2019-02-01T16:30:00Z,134.78,134.85,134.7,134.79,6856.222222222223,NaN,NaN,NaN,NaN,134.646,4452,NaN,NaN,NaN,NaN
2019-02-01T16:45:00Z,134.79,134.95,134.71,134.88,6524.977777777778,NaN,NaN,NaN,134.70299999999997,134.68399999999997,5200,6690.6,NaN,NaN,NaN
2019-02-01T17:00:00Z,134.89,134.9,134.64,134.73,7064.3822222222225,NaN,NaN,NaN,134.724,134.72599999999997,9222,6854.6,NaN,NaN,NaN
2019-02-01T17:15:00Z,134.73,134.73,134.4,134.45,7651.505777777778,NaN,NaN,NaN,134.70199999999997,134.72199999999998,10000,7084.6,NaN,NaN,NaN
2019-02-01T17:30:00Z,134.42,134.52,134.32,134.46,6801.2046222222225,NaN,NaN,NaN,134.64999999999998,134.66199999999998,3400,6386.1,NaN,NaN,NaN
2019-02-01T17:45:00Z,134.46,134.5,134.32,134.33,6419.963697777778,NaN,NaN,NaN,134.60799999999998,134.57,4895,6206.7,NaN,NaN,NaN
2019-02-01T18:00:00Z,134.295,134.31,134.07,134.07,5717.970958222222,NaN,NaN,NaN,134.54599999999996,134.40800000000002,2910,5737.7,39.81900452488652,NaN,NaN
2019-02-01T18:15:00Z,134.09,134.1,133.81,133.92,6265.176766577778,NaN,NaN,NaN,134.48599999999996,134.246,8454,6003.1,37.10671423937682,NaN,NaN
2019-02-01T18:30:00Z,133.88,133.97,133.83,133.84,5773.341413262222,NaN,NaN,NaN,134.42299999999994,134.12400000000002,3806,5723.9,35.70965495713965,NaN,NaN
2019-02-01T18:45:00Z,133.76,133.94,133.63,133.83,6537.873130609778,NaN,NaN,NaN,134.32999999999996,133.99800000000002,9596,6193.5,35.52958256379161,NaN,NaN
2019-02-01T19:00:00Z,133.9,133.92,133.74,133.8,7222.298504487822,NaN,NaN,NaN,134.23099999999994,133.89200000000002,9960,6744.3,34.96002302322229,NaN,NaN
