,Close_x,Name,Datetime,Close_y,High,Low,Open,Diff
388,2950.0,A039230,2016-07-29,2900.0,3070.0,2400.0,2405.0,0.20582120582120583
405,14850.0,A090470,2016-07-29,14100.0,14400.0,11850.0,11900.0,0.18487394957983194
166,3680.0,A104040,2016-07-29,3770.0,3900.0,3160.0,3230.0,0.16718266253869968
446,6330.0,A079950,2016-07-29,5940.0,5940.0,5200.0,5300.0,0.12075471698113208
678,1530.0,A043260,2016-07-29,1490.0,1695.0,1330.0,1330.0,0.12030075187969924
548,14528.0,A054620,2016-07-29,14081.0,14156.0,12554.0,12666.0,0.11171640612663825
649,7280.0,A067310,2016-07-29,7040.0,7580.0,6500.0,6500.0,0.08307692307692308
476,109600.0,A039030,2016-07-29,107800.0,107800.0,99400.0,100100.0,0.07692307692307693
106,39900.0,A067080,2016-07-29,41650.0,42700.0,38600.0,38750.0,0.07483870967741936
102,5010.0,A039670,2016-07-29,4165.0,4175.0,3880.0,3880.0,0.07345360824742268
553,1555.0,A007720,2016-07-29,1580.0,1655.0,1475.0,1475.0,0.0711864406779661
570,6420.0,A039340,2016-07-29,6600.0,6750.0,6180.0,6200.0,0.06451612903225806
558,2310.0,A032980,2016-07-29,2320.0,2320.0,2170.0,2180.0,0.06422018348623854
500,6531.0,A032940,2016-07-29,6622.0,6769.0,6166.0,6230.0,0.06292134831460675
88,24250.0,A088130,2016-07-29,23750.0,23950.0,22100.0,22350.0,0.06263982102908278
618,6050.0,A009780,2016-07-29,6075.0,6075.0,5700.0,5725.0,0.0611353711790393
415,30950.0,A056190,2016-07-29,30200.0,30300.0,28400.0,28500.0,0.05964912280701754
277,4535.0,A079810,2016-07-29,3895.0,3900.0,3680.0,3680.0,0.058423913043478264
565,5840.0,A057880,2016-07-29,5440.0,5450.0,5020.0,5150.0,0.05631067961165048
133,4093.0,A109820,2016-07-29,4180.0,4233.0,3900.0,3960.0,0.05555555555555555
244,2540.0,A054940,2016-07-29,2380.0,2470.0,2240.0,2255.0,0.05543237250554324
365,3895.0,A065350,2016-07-29,3750.0,3755.0,3520.0,3560.0,0.05337078651685393
253,3380.0,A057680,2016-07-29,3284.0,3288.0,3121.0,3121.0,0.05222685036847164
350,5050.0,A066670,2016-07-29,5180.0,5270.0,4900.0,4930.0,0.05070993914807302
389,14488.0,A083790,2016-07-29,14842.0,15145.0,14009.0,14135.0,0.05001768659356208
276,6435.0,A071280,2016-07-29,5685.0,5748.0,5354.0,5423.0,0.04831274202470957
675,10900.0,A052190,2016-07-29,10850.0,10850.0,10250.0,10350.0,0.04830917874396135
58,6749.0,A065650,2016-07-29,6769.0,6798.0,6361.0,6477.0,0.045082599969121506
591,10150.0,A048870,2016-07-29,10550.0,10600.0,9840.0,10100.0,0.04455445544554455
526,3520.0,A051160,2016-07-29,3555.0,4145.0,3265.0,3405.0,0.04405286343612335
503,19100.0,A084370,2016-07-29,19100.0,19150.0,18200.0,18300.0,0.04371584699453552
346,1505.0,A036090,2016-07-29,1465.0,1565.0,1400.0,1405.0,0.042704626334519574
443,6740.0,A014570,2016-07-29,6900.0,7280.0,6620.0,6620.0,0.04229607250755287
146,3671.0,A065440,2016-07-29,3800.0,3929.0,3572.0,3648.0,0.041666666666666664
440,11700.0,A005290,2016-07-29,11350.0,11500.0,10900.0,10900.0,0.04128440366972477
177,20545.0,A085370,2016-07-29,20820.0,21095.0,19870.0,19995.0,0.04126031507876969
52,8090.0,A115610,2016-07-29,8100.0,8730.0,7650.0,7780.0,0.04113110539845758
452,7610.0,A020400,2016-07-29,7600.0,7600.0,7300.0,7300.0,0.0410958904109589
312,4230.0,A101170,2016-07-29,4265.0,4500.0,4010.0,4100.0,0.04024390243902439
391,10380.0,A053610,2016-07-29,10051.0,10239.0,9534.0,9675.0,0.038863049095607234
229,3095.0,A096630,2016-07-29,3105.0,3105.0,2990.0,2990.0,0.038461538461538464
56,4895.0,A083470,2016-07-29,4515.0,4605.0,4265.0,4350.0,0.03793103448275862
150,16375.0,A083310,2016-07-29,16019.0,16063.0,15126.0,15438.0,0.03763440860215054
135,20800.0,A095610,2016-07-29,19450.0,19500.0,18750.0,18750.0,0.037333333333333336
616,13700.0,A048910,2016-07-29,13950.0,14000.0,13150.0,13450.0,0.03717472118959108
737,7860.0,A036010,2016-07-29,7670.0,7790.0,7320.0,7400.0,0.03648648648648649
436,9130.0,A031860,2016-07-29,9200.0,9350.0,8710.0,8880.0,0.036036036036036036
599,10599.0,A086890,2016-07-29,10979.0,11074.0,10599.0,10599.0,0.03585243890933107
156,2660.0,A036540,2016-07-29,2640.0,2650.0,2500.0,2550.0,0.03529411764705882
691,11450.0,A094840,2016-07-29,11850.0,11950.0,10900.0,11450.0,0.034934497816593885
738,4083.0,A073570,2016-07-29,4076.0,4148.0,3868.0,3940.0,0.03451776649746193
487,13800.0,A045100,2016-07-29,13700.0,13750.0,12950.0,13250.0,0.033962264150943396
347,19750.0,A086960,2016-07-29,19800.0,19850.0,19050.0,19150.0,0.033942558746736295
334,3086.0,A014190,2016-07-29,3184.0,3212.0,3077.0,3081.0,0.03343070431678027
437,5719.0,A066910,2016-07-29,5805.0,5900.0,5566.0,5624.0,0.03218349928876245
185,6610.0,A114630,2016-07-29,6500.0,6520.0,6270.0,6300.0,0.031746031746031744
734,9260.0,A019540,2016-07-29,9280.0,9650.0,9000.0,9000.0,0.03111111111111111
149,11800.0,A091700,2016-07-29,11850.0,11850.0,11350.0,11500.0,0.030434782608695653
246,7719.0,A066110,2016-07-29,7719.0,8022.0,7366.0,7492.0,0.0302989855846236
743,4780.0,A036170,2016-07-29,4790.0,4840.0,4590.0,4650.0,0.030107526881720432
501,3040.0,A045510,2016-07-29,3090.0,3200.0,2955.0,3000.0,0.03
330,3953.0,A039980,2016-07-29,3999.0,4020.0,3829.0,3883.0,0.029873808910636106
291,18402.0,A008800,2016-07-29,19121.0,19728.0,18292.0,18568.0,0.029782421370099094
451,17550.0,A059100,2016-07-29,17350.0,17450.0,16550.0,16850.0,0.02967359050445104
598,4750.0,A050540,2016-07-29,4860.0,5010.0,4720.0,4720.0,0.029661016949152543
554,4910.0,A047310,2016-07-29,4905.0,4985.0,4720.0,4765.0,0.02938090241343127
200,5090.0,A095500,2016-07-29,5070.0,5110.0,4930.0,4930.0,0.028397565922920892
65,12374.0,A031980,2016-07-29,12289.0,12416.0,11823.0,11950.0,0.028368200836820085
568,5110.0,A100700,2016-07-29,5140.0,5160.0,4990.0,5000.0,0.028
257,4505.0,A026910,2016-07-29,4595.0,4625.0,4470.0,4470.0,0.02796420581655481
583,2815.0,A045300,2016-07-29,2780.0,2832.0,2705.0,2705.0,0.027726432532347505
25,3050.0,A065450,2016-07-29,3170.0,3215.0,3070.0,3085.0,0.027552674230145867
374,9644.0,A088390,2016-07-29,9702.0,9874.0,9385.0,9442.0,0.02753653886888371
590,1135.0,A072520,2016-07-29,1171.0,1211.0,1135.0,1141.0,0.026292725679228746
344,2135.0,A020180,2016-07-29,2185.0,2235.0,2120.0,2130.0,0.025821596244131457
223,13750.0,A035600,2016-07-29,13950.0,14000.0,13550.0,13600.0,0.025735294117647058
392,6777.0,A105330,2016-07-29,6548.0,7014.0,6327.0,6384.0,0.02568922305764411
9,8110.0,A030530,2016-07-29,7820.0,7900.0,7480.0,7630.0,0.02490170380078637
555,4525.0,A043610,2016-07-29,4555.0,4565.0,4440.0,4445.0,0.024746906636670417
80,2675.0,A073190,2016-07-29,2705.0,2705.0,2630.0,2640.0,0.02462121212121212
674,1499.0,A900080,2016-07-29,1499.0,1522.0,1463.0,1463.0,0.02460697197539303
453,6750.0,A073070,2016-07-29,6350.0,6380.0,6200.0,6200.0,0.024193548387096774
59,4242.0,A078600,2016-07-29,4064.0,4072.0,3951.0,3968.0,0.024193548387096774
431,5580.0,A060150,2016-07-29,5590.0,5590.0,5430.0,5460.0,0.023809523809523808
481,3640.0,A065950,2016-07-29,3660.0,3700.0,3575.0,3575.0,0.023776223776223775
707,6300.0,A080000,2016-07-29,5090.0,5210.0,4830.0,4975.0,0.023115577889447236
665,9380.0,A098460,2016-07-29,9350.0,9350.0,9040.0,9140.0,0.022975929978118162
295,9730.0,A102120,2016-07-29,9850.0,9870.0,9610.0,9630.0,0.02284527518172378
46,6440.0,A002230,2016-07-29,6280.0,6300.0,6030.0,6140.0,0.02280130293159609
502,22350.0,A013030,2016-07-29,22550.0,22900.0,21850.0,22050.0,0.022675736961451247
290,2725.0,A037400,2016-07-29,2730.0,3085.0,2625.0,2670.0,0.02247191011235955
