,Close_x,Name,Datetime,Close_y,Diff
114,39796.0,A196450,2016-08-01 15:00:00,16115.0,1.4695004654049022
554,12850.0,A064240,2016-08-01 15:00:00,9920.0,0.29536290322580644
174,4174.0,A036620,2016-08-01 15:00:00,3478.0,0.20011500862564693
736,38750.0,A191420,2016-08-01 15:00:00,32500.0,0.19230769230769232
432,1220.0,A127160,2016-08-01 15:00:00,1060.0,0.1509433962264151
386,6498.0,A071280,2016-08-01 15:00:00,5685.0,0.14300791556728232
900,1330.0,A090410,2016-08-01 15:00:00,1168.0,0.1386986301369863
965,5760.0,A080000,2016-08-01 15:00:00,5090.0,0.13163064833005894
387,4385.0,A079810,2016-08-01 15:00:00,3895.0,0.1258023106546855
51,1700.0,A065530,2016-08-01 15:00:00,1520.0,0.11842105263157894
452,8670.0,A100130,2016-08-01 15:00:00,7810.0,0.11011523687580026
256,3885.0,A048470,2016-08-01 15:00:00,3500.0,0.11
159,4620.0,A039670,2016-08-01 15:00:00,4165.0,0.1092436974789916
133,3090.0,A131370,2016-08-01 15:00:00,2820.0,0.09574468085106383
385,9135.0,A143540,2016-08-01 15:00:00,8376.0,0.0906160458452722
937,22950.0,A044490,2016-08-01 15:00:00,21250.0,0.08
766,5840.0,A057880,2016-08-01 15:00:00,5440.0,0.07352941176470588
896,13200.0,A060720,2016-08-01 15:00:00,12300.0,0.07317073170731707
267,5348.0,A160600,2016-08-01 15:00:00,4992.0,0.07131410256410256
892,2260.0,A218150,2016-08-01 15:00:00,2110.0,0.07109004739336493
259,3960.0,A131400,2016-08-01 15:00:00,3700.0,0.07027027027027027
365,32365.0,A095270,2016-08-01 15:00:00,30255.0,0.06974053875392497
827,10050.0,A090360,2016-08-01 15:00:00,9400.0,0.06914893617021277
441,6650.0,A217190,2016-08-01 15:00:00,6220.0,0.06913183279742766
277,24800.0,A222110,2016-08-01 15:00:00,23200.0,0.06896551724137931
346,3470.0,A214270,2016-08-01 15:00:00,3260.0,0.06441717791411043
144,13792.0,A122640,2016-08-01 15:00:00,12970.0,0.06337702390131071
1018,4054.0,A083640,2016-08-01 15:00:00,3813.0,0.06320482559664306
282,10894.0,A092870,2016-08-01 15:00:00,10249.0,0.06293296907015318
608,6300.0,A079950,2016-08-01 15:00:00,5940.0,0.06060606060606061
733,21900.0,A102710,2016-08-01 15:00:00,20650.0,0.06053268765133172
184,4245.0,A033200,2016-08-01 15:00:00,4005.0,0.0599250936329588
53,4600.0,A080580,2016-08-01 15:00:00,4340.0,0.059907834101382486
669,7190.0,A134060,2016-08-01 15:00:00,6800.0,0.057352941176470586
696,5811.0,A101390,2016-08-01 15:00:00,5501.0,0.05635339029267406
295,10550.0,A066310,2016-08-01 15:00:00,10000.0,0.055
344,3525.0,A101160,2016-08-01 15:00:00,3345.0,0.053811659192825115
783,9690.0,A012700,2016-08-01 15:00:00,9200.0,0.05326086956521739
539,10568.0,A053610,2016-08-01 15:00:00,10051.0,0.05143766789374191
770,2460.0,A021080,2016-08-01 15:00:00,2340.0,0.05128205128205128
18,3425.0,A123570,2016-08-01 15:00:00,3262.0,0.04996934396076027
713,8169.0,A124500,2016-08-01 15:00:00,7781.0,0.04986505590541061
613,13700.0,A123860,2016-08-01 15:00:00,13050.0,0.04980842911877394
847,9520.0,A039440,2016-08-01 15:00:00,9071.0,0.04949840149928343
903,10700.0,A044480,2016-08-01 15:00:00,10200.0,0.049019607843137254
708,2380.0,A042040,2016-08-01 15:00:00,2270.0,0.048458149779735685
253,4660.0,A080220,2016-08-01 15:00:00,4445.0,0.048368953880764905
499,9625.0,A160980,2016-08-01 15:00:00,9183.0,0.04813241859958619
657,33900.0,A067160,2016-08-01 15:00:00,32350.0,0.04791344667697063
49,16550.0,A170920,2016-08-01 15:00:00,15800.0,0.04746835443037975
113,5099.0,A106080,2016-08-01 15:00:00,4868.0,0.04745275267050123
744,6010.0,A051980,2016-08-01 15:00:00,5740.0,0.047038327526132406
729,12075.0,A082660,2016-08-01 15:00:00,11538.0,0.04654186167446698
343,2490.0,A054940,2016-08-01 15:00:00,2380.0,0.046218487394957986
512,3472.0,A049080,2016-08-01 15:00:00,3322.0,0.04515352197471403
804,2550.0,A182360,2016-08-01 15:00:00,2440.0,0.045081967213114756
895,10050.0,A101490,2016-08-01 15:00:00,9620.0,0.0446985446985447
528,15200.0,A079370,2016-08-01 15:00:00,14550.0,0.044673539518900345
760,6336.0,A044180,2016-08-01 15:00:00,6069.0,0.0439940682155215
221,6420.0,A065130,2016-08-01 15:00:00,6150.0,0.04390243902439024
380,2275.0,A027830,2016-08-01 15:00:00,2180.0,0.04357798165137615
984,5829.0,A130500,2016-08-01 15:00:00,5586.0,0.043501611170784105
845,4520.0,A038010,2016-08-01 15:00:00,4335.0,0.04267589388696655
629,28550.0,A141000,2016-08-01 15:00:00,27400.0,0.041970802919708027
884,6870.0,A148250,2016-08-01 15:00:00,6600.0,0.04090909090909091
30,17774.0,A053450,2016-08-01 15:00:00,17077.0,0.04081513146337179
121,9723.0,A074600,2016-08-01 15:00:00,9347.0,0.040226810741414355
764,4644.0,A078650,2016-08-01 15:00:00,4465.0,0.04008958566629339
486,10150.0,A030350,2016-08-01 15:00:00,9760.0,0.039959016393442626
167,6010.0,A060260,2016-08-01 15:00:00,5780.0,0.039792387543252594
773,14371.0,A122990,2016-08-01 15:00:00,13823.0,0.03964407147507777
290,4922.0,A064260,2016-08-01 15:00:00,4735.0,0.03949313621964097
132,6213.0,A038340,2016-08-01 15:00:00,5979.0,0.039136979427997994
749,10108.0,A097870,2016-08-01 15:00:00,9731.0,0.03874216421744939
650,12100.0,A096610,2016-08-01 15:00:00,11650.0,0.03862660944206009
500,23100.0,A065620,2016-08-01 15:00:00,22250.0,0.038202247191011236
412,10350.0,A069540,2016-08-01 15:00:00,9970.0,0.03811434302908726
753,4105.0,A090460,2016-08-01 15:00:00,3955.0,0.03792667509481669
59,2060.0,A045390,2016-08-01 15:00:00,1985.0,0.037783375314861464
482,1520.0,A036090,2016-08-01 15:00:00,1465.0,0.03754266211604096
590,2150.0,A044780,2016-08-01 15:00:00,2075.0,0.03614457831325301
375,6990.0,A004780,2016-08-01 15:00:00,6750.0,0.035555555555555556
342,10828.0,A214310,2016-08-01 15:00:00,10457.0,0.03547862675719614
974,32282.0,A036830,2016-08-01 15:00:00,31178.0,0.03540958368080056
869,2370.0,A009620,2016-08-01 15:00:00,2289.0,0.035386631716906945
443,509.0,A096350,2016-08-01 15:00:00,492.0,0.034552845528455285
703,13500.0,A143160,2016-08-01 15:00:00,13050.0,0.034482758620689655
934,7530.0,A086060,2016-08-01 15:00:00,7280.0,0.034340659340659344
599,36200.0,A104830,2016-08-01 15:00:00,35000.0,0.03428571428571429
651,27041.0,A221610,2016-08-01 15:00:00,26145.0,0.03427041499330656
303,8550.0,A047080,2016-08-01 15:00:00,8270.0,0.03385731559854897
730,9800.0,A087730,2016-08-01 15:00:00,9480.0,0.03375527426160337
315,10150.0,A086390,2016-08-01 15:00:00,9820.0,0.03360488798370672
199,20100.0,A095610,2016-08-01 15:00:00,19450.0,0.033419023136246784
390,5479.0,A187270,2016-08-01 15:00:00,5306.0,0.03260459856765925
812,13304.0,A066970,2016-08-01 15:00:00,12887.0,0.032358190424458755
765,3510.0,A067770,2016-08-01 15:00:00,3400.0,0.03235294117647059
117,11262.0,A206560,2016-08-01 15:00:00,10910.0,0.03226397800183318
840,4480.0,A078150,2016-08-01 15:00:00,4340.0,0.03225806451612903
844,9290.0,A052020,2016-08-01 15:00:00,9000.0,0.03222222222222222
97,4194.0,A078600,2016-08-01 15:00:00,4064.0,0.03198818897637795
745,14529.0,A054620,2016-08-01 15:00:00,14081.0,0.03181592216461899
556,3920.0,A058220,2016-08-01 15:00:00,3800.0,0.031578947368421054
319,152000.0,A036490,2016-08-01 15:00:00,147400.0,0.031207598371777476
982,16550.0,A063170,2016-08-01 15:00:00,16050.0,0.03115264797507788
521,768.0,A041190,2016-08-01 15:00:00,745.0,0.03087248322147651
598,11700.0,A005290,2016-08-01 15:00:00,11350.0,0.030837004405286344
593,1003.0,A090710,2016-08-01 15:00:00,973.0,0.030832476875642344
495,8120.0,A032750,2016-08-01 15:00:00,7880.0,0.030456852791878174
75,16950.0,A121600,2016-08-01 15:00:00,16450.0,0.030395136778115502
147,6790.0,A083930,2016-08-01 15:00:00,6590.0,0.030349013657056147
141,1710.0,A027710,2016-08-01 15:00:00,1660.0,0.030120481927710843
374,1968.0,A060560,2016-08-01 15:00:00,1911.0,0.029827315541601257
814,7990.0,A149950,2016-08-01 15:00:00,7760.0,0.029639175257731958
241,12350.0,A041520,2016-08-01 15:00:00,12000.0,0.029166666666666667
628,5092.0,A024840,2016-08-01 15:00:00,4951.0,0.028479095132296506
245,19900.0,A030520,2016-08-01 15:00:00,19350.0,0.028423772609819122
717,16400.0,A040910,2016-08-01 15:00:00,15950.0,0.02821316614420063
382,2740.0,A208710,2016-08-01 15:00:00,2665.0,0.028142589118198873
80,15681.0,A213420,2016-08-01 15:00:00,15255.0,0.027925270403146508
525,3155.0,A076080,2016-08-01 15:00:00,3070.0,0.02768729641693811
858,5980.0,A064800,2016-08-01 15:00:00,5820.0,0.027491408934707903
550,5620.0,A071670,2016-08-01 15:00:00,5470.0,0.027422303473491772
1012,7880.0,A036010,2016-08-01 15:00:00,7670.0,0.027379400260756193
276,11300.0,A015710,2016-08-01 15:00:00,11000.0,0.02727272727272727
577,3918.0,A027580,2016-08-01 15:00:00,3814.0,0.027267960146827478
15,8030.0,A030530,2016-08-01 15:00:00,7820.0,0.026854219948849106
823,5770.0,A036000,2016-08-01 15:00:00,5620.0,0.026690391459074734
664,3850.0,A177830,2016-08-01 15:00:00,3750.0,0.02666666666666667
91,4635.0,A083470,2016-08-01 15:00:00,4515.0,0.026578073089700997
71,45658.0,A096690,2016-08-01 15:00:00,44487.0,0.026322296401195856
135,4925.0,A051490,2016-08-01 15:00:00,4800.0,0.026041666666666668
81,3610.0,A025880,2016-08-01 15:00:00,3520.0,0.02556818181818182
591,2220.0,A052860,2016-08-01 15:00:00,2165.0,0.025404157043879907
720,3645.0,A051160,2016-08-01 15:00:00,3555.0,0.02531645569620253
429,12400.0,A032960,2016-08-01 15:00:00,12095.0,0.025217031831335262
476,4488.0,A080530,2016-08-01 15:00:00,4379.0,0.024891527746060745
42,3300.0,A073540,2016-08-01 15:00:00,3220.0,0.024844720496894408
569,30950.0,A056190,2016-08-01 15:00:00,30200.0,0.024834437086092714
741,4385.0,A043360,2016-08-01 15:00:00,4280.0,0.02453271028037383
981,12550.0,A038160,2016-08-01 15:00:00,12250.0,0.024489795918367346
585,7000.0,A023900,2016-08-01 15:00:00,6833.0,0.02444021659593151
970,3355.0,A171010,2016-08-01 15:00:00,3275.0,0.024427480916030534
