Code,Return
A000250,138.00
A000440,-52.00
A001000,-18.00
A001540,-35.00
A001810,19.00
A001840,-15.00
A002230,-32.00
A002290,-69.00
A002680,-36.00
A002800,-1.00
A003100,-11.00
A003310,-28.00
A003380,-27.00
A003800,67.00
A004590,131.00
A004650,-63.00
A004780,-19.00
A005160,-43.00
A005290,13.00
A005670,16.00
A005710,203.00
A005860,-45.00
A005990,57.00
A006050,1.00
A006140,-8.00
A006580,11.00
A006620,-11.00
A006730,-10.00
A006910,-13.00
A006920,34.00
A007330,-37.00
A007370,-18.00
A007390,3.00
A007530,-67.00
A007680,-45.00
A007720,51.00
A007770,-13.00
A007820,-11.00
A008290,1.00
A008370,-29.00
A008470,-15.00
A008800,175.00
A008830,3.00
A009300,7.00
A009520,155.00
A009620,-12.00
A009730,-74.00
A009780,-8.00
A010170,-40.00
A010240,181.00
A010280,-57.00
A010470,-21.00
A011040,-26.00
A011080,-69.00
A011320,-6.00
A011370,27.00
A011560,24.00
A012340,-79.00
A012620,-4.00
A012700,74.00
A012790,-18.00
A012860,-36.00
A013030,-47.00
A013120,189.00
A013310,15.00
A013720,-2.00
A013810,-55.00
A013990,-79.00
A014100,-35.00
A014190,3.00
A014200,111.00
A014470,-17.00
A014570,-74.00
A014620,-63.00
A014940,-12.00
A014970,60.00
A015710,54.00
A015750,-54.00
A016100,4.00
A016250,199.00
A016600,4.00
A016670,0
A016790,18.00
A016920,67.00
A017000,-21.00
A017250,-69.00
A017480,-57.00
A017510,-24.00
A017650,276.00
A017890,19.00
A018000,-27.00
A018120,56.00
A018290,44.00
A018310,-48.00
A018620,-6.00
A018680,78.00
A018700,-24.00
A019010,74.00
A019210,-7.00
A019540,164.00
A019550,-2.00
A019570,-41.00
A019590,-56.00
A019660,99.00
A019770,-36.00
A019990,-60.00
A020180,-25.00
A020400,-32.00
A020710,89.00
A021040,-34.00
A021045,0
A021080,59.00
A021320,189.00
A021650,-37.00
A021880,-47.00
A022100,-40.00
A022220,-31.00
A023160,-34.00
A023410,50.00
A023440,45.00
A023460,-64.00
A023600,-13.00
A023760,-22.00
A023770,-34.00
A023790,-79.00
A023900,60.00
A023910,-7.00
A024060,-25.00
A024120,-68.00
A024740,-68.00
A024800,90.00
A024810,-43.00
A024830,36.00
A024840,-62.00
A024850,-75.00
A024880,38.00
A024910,48.00
A024940,2.00
A024950,86.00
A025320,-63.00
A025440,-27.00
A025550,-18.00
A025770,0
A025870,-4.00
A025880,-49.00
A025900,659.00
A025950,-51.00
A025980,6.00
A026040,-49.00
A026150,-26.00
A026910,-74.00
A027040,70.00
A027050,-22.00
A027360,22.00
A027580,-67.00
A027710,-31.00
A027830,21.00
A028080,-11.00
A028150,-3.00
A028300,1414.00
A029480,-49.00
A029960,-28.00
A030190,83.00
A030350,1.00
A030520,21.00
A030530,-37.00
A030960,206.00
A031310,-10.00
A031330,27.00
A031390,283.00
A031510,-48.00
A031860,-25.00
A031980,99.00
A032080,-55.00
A032190,-20.00
A032280,-69.00
A032300,-100.00
A032500,365.00
A032540,-65.00
A032580,-47.00
A032620,3.00
A032680,25.00
A032685,0
A032750,-8.00
A032790,-43.00
A032800,-20.00
A032820,-79.00
A032850,-59.00
A032860,0
A032940,44.00
A032960,13.00
A032980,-70.00
A033050,-69.00
A033100,43.00
A033110,-35.00
A033130,54.00
A033160,-23.00
A033170,-64.00
A033200,4.00
A033230,-40.00
A033290,-4.00
A033310,46.00
A033320,22.00
A033340,-32.00
A033430,-43.00
A033500,175.00
A033540,-11.00
A033560,301.00
A033600,-58.00
A033640,1.00
A033790,-20.00
A033830,-13.00
A034230,-3.00
A034810,190.00
A034940,-69.00
A034950,105.00
A035080,-13.00
A035200,-34.00
A035290,-40.00
A035460,-35.00
A035600,-35.00
A035610,-7.00
A035620,-40.00
A035760,0
A035810,-11.00
A035890,-27.00
A035900,32.00
A036000,-27.00
A036010,2.00
A036030,-52.00
A036090,149.00
A036120,-22.00
A036170,-59.00
A036180,-71.00
A036190,104.00
A036200,-30.00
A036480,-3.00
A036490,0
A036540,-21.00
A036560,-30.00
A036620,-1.00
A036630,-27.00
A036640,-34.00
A036670,19.00
A036690,41.00
A036710,-72.00
A036800,139.00
A036810,122.00
A036830,22.00
A036890,24.00
A036930,-19.00
A037030,-26.00
A037070,-17.00
A037230,-19.00
A037330,16.00
A037350,-17.00
A037370,-30.00
A037400,-55.00
A037440,-55.00
A037460,-54.00
A037760,-69.00
A037950,-58.00
A038010,47.00
A038060,-66.00
A038070,-70.00
A038110,-28.00
A038160,-38.00
A038290,0
A038340,-12.00
A038390,-14.00
A038460,-13.00
A038500,14.00
A038530,-20.00
A038540,764.00
A038620,-31.00
A038680,-37.00
A038870,52.00
A038880,-52.00
A038950,-4.00
A039010,-42.00
A039020,-14.00
A039030,15.00
A039200,48.00
A039230,-58.00
A039240,-58.00
A039290,-61.00
A039310,-31.00
A039340,27.00
A039420,-63.00
A039440,42.00
A039560,-53.00
A039610,2.00
A039670,-45.00
A039740,-78.00
A039830,-44.00
A039840,72.00
A039860,-42.00
A039980,-42.00
A040160,37.00
A040300,-23.00
A040350,33.00
A040420,7.00
A040610,38.00
A040910,-59.00
A041020,-68.00
A041140,62.00
A041190,18.00
A041440,58.00
A041460,-3.00
A041510,-41.00
A041520,59.00
A041590,-7.00
A041830,291.00
A041910,242.00
A041920,24.00
A041930,-23.00
A041960,214.00
A042000,-48.00
A042040,4.00
A042110,-75.00
A042370,-40.00
A042420,-46.00
A042500,-38.00
A042510,-78.00
A042520,36.00
A042600,-34.00
A042940,-82.00
A043090,9.00
A043100,-26.00
A043150,23.00
A043200,-23.00
A043220,0
A043260,-77.00
A043290,-39.00
A043340,-33.00
A043360,-17.00
A043370,-66.00
A043590,-31.00
A043610,-7.00
A043650,-54.00
A043710,-44.00
A043910,-73.00
A044060,-29.00
A044180,-71.00
A044340,252.00
A044480,-8.00
A044490,52.00
A044780,-31.00
A044960,-45.00
A045060,-81.00
A045100,-8.00
A045300,-47.00
A045340,41.00
A045390,79.00
A045510,-30.00
A045520,94.00
A045660,7.00
A045890,0
A045970,72.00
A046070,-37.00
A046110,-25.00
A046120,-6.00
A046140,2.00
A046210,-25.00
A046310,82.00
A046390,-45.00
A046440,39.00
A046890,-68.00
A046940,-15.00
A046970,-47.00
A047080,75.00
A047310,1.00
A047560,-28.00
A047770,0
A047820,-40.00
A047920,56.00
A048260,-8.00
A048410,-44.00
A048430,-20.00
A048470,-34.00
A048530,65.00
A048550,36.00
A048770,0
A048830,-43.00
A048870,12.00
A048910,-19.00
A049070,-30.00
A049080,-38.00
A049120,-80.00
A049180,112.00
A049430,-44.00
A049470,-22.00
A049480,-51.00
A049520,65.00
A049550,-17.00
A049630,-60.00
A049720,86.00
A049830,-13.00
A049950,947.00
A049960,70.00
A050090,-81.00
A050110,-64.00
A050120,-40.00
A050320,-43.00
A050540,0
A050760,-24.00
A050860,-54.00
A050890,0
A050960,-17.00
A051160,-35.00
A051360,120.00
A051370,71.00
A051380,-16.00
A051390,-33.00
A051490,-39.00
A051500,27.00
A051780,205.00
A051980,-53.00
A052020,-28.00
A052190,32.00
A052220,90.00
A052260,62.00
A052300,272.00
A052330,-57.00
A052400,2.00
A052420,0
A052460,-45.00
A052600,-4.00
A052670,8.00
A052710,91.00
A052770,8.00
A052790,-9.00
A052860,34.00
A052900,-84.00
A053030,-42.00
A053050,-51.00
A053060,-75.00
A053080,-100.00
A053110,37.00
A053160,3.00
A053260,-51.00
A053270,-77.00
A053280,-6.00
A053290,-5.00
A053300,83.00
A053350,-62.00
A053450,-55.00
A053580,90.00
A053590,36.00
A053610,-44.00
A053620,9.00
A053660,-46.00
A053700,38.00
A053800,-4.00
A053950,-60.00
A053980,128.00
A054040,-15.00
A054050,-41.00
A054090,-67.00
A054180,0
A054210,-15.00
A054220,-85.00
A054300,-27.00
A054410,138.00
A054450,-15.00
A054540,-8.00
A054620,-25.00
A054630,2.00
A054670,0
A054780,246.00
A054800,18.00
A054920,-10.00
A054930,145.00
A054940,-55.00
A054950,42.00
A056000,-69.00
A056080,-37.00
A056090,-59.00
A056190,-43.00
A056360,-11.00
A056700,-56.00
A056730,-23.00
A057030,-28.00
A057540,-55.00
A057680,-1.00
A057880,-62.00
A058110,54.00
A058220,-67.00
A058400,42.00
A058420,-79.00
A058450,18.00
A058470,159.00
A058530,-22.00
A058610,-49.00
A058630,-77.00
A058820,-17.00
A059090,-4.00
A059100,15.00
A059120,20.00
A059210,-50.00
A059270,-100.00
A060150,40.00
A060230,-43.00
A060240,-20.00
A060250,516.00
A060260,-10.00
A060280,89.00
A060300,-46.00
A060310,226.00
A060370,9.00
A060380,-14.00
A060480,-62.00
A060540,-64.00
A060560,0
A060570,7.00
A060590,-41.00
A060720,130.00
A060850,-100.00
A060900,-61.00
A061040,-63.00
A061250,5.00
A061970,263.00
A062860,-35.00
A062970,32.00
A063080,19.00
A063170,-4.00
A063440,0
A063570,114.00
A063760,227.00
A064090,-36.00
A064240,418.00
A064260,-72.00
A064290,50.00
A064480,-22.00
A064510,85.00
A064520,-89.00
A064550,-9.00
A064760,2.00
A064800,-25.00
A064820,-59.00
A064850,-40.00
A065060,22.00
A065130,-59.00
A065150,-47.00
A065170,86.00
A065350,0
A065370,185.00
A065420,64.00
A065440,-50.00
A065450,-36.00
A065500,-23.00
A065510,-50.00
A065530,259.00
A065560,-11.00
A065570,-46.00
A065620,192.00
A065650,40.00
A065660,183.00
A065680,37.00
A065690,-13.00
A065710,257.00
A065770,0
A065950,-78.00
A066110,20.00
A066130,36.00
A066310,-78.00
A066360,3.00
A066410,-19.00
A066430,0
A066590,0
A066620,64.00
A066670,23.00
A066700,12.00
A066790,-29.00
A066900,38.00
A066910,-61.00
A066970,-11.00
A066980,-69.00
A067000,82.00
A067010,-26.00
A067080,77.00
A067160,11.00
A067170,-2.00
A067280,96.00
A067290,-65.00
A067310,8.00
A067390,-59.00
A067570,-35.00
A067630,115.00
A067730,-46.00
A067770,-29.00
A067900,38.00
A067920,-19.00
A067990,-36.00
A068050,172.00
A068240,91.00
A068330,-48.00
A068760,762.00
A068790,-20.00
A068930,35.00
A068940,-15.00
A069080,67.00
A069110,543.00
A069140,-67.00
A069330,-79.00
A069410,87.00
A069510,23.00
A069540,-62.00
A069920,0
A070300,31.00
A070590,-88.00
A071200,-31.00
A071280,-30.00
A071460,40.00
A071670,-64.00
A071850,-13.00
A072020,-42.00
A072470,46.00
A072520,-50.00
A072770,-14.00
A072870,-48.00
A072950,-73.00
A072990,7.00
A073010,-88.00
A073070,39.00
A073110,-55.00
A073190,15.00
A073490,11.00
A073540,57.00
A073560,45.00
A073570,-78.00
A073640,0
A074430,-39.00
A074600,27.00
A075130,8.00
A075970,-52.00
A076080,-27.00
A076610,-21.00
A077360,-73.00
A078020,0
A078070,844.00
A078130,182.00
A078140,229.00
A078150,-51.00
A078160,50.00
A078340,251.00
A078350,13.00
A078590,-33.00
A078600,121.00
A078650,-60.00
A078860,-9.00
A078890,-22.00
A078940,-39.00
A079000,6.00
A079170,-67.00
A079190,-4.00
A079370,0
A079650,-27.00
A079810,-49.00
A079940,3.00
A079950,-46.00
A079960,0
A079970,-33.00
A080000,-69.00
A080010,-19.00
A080160,-29.00
A080220,81.00
A080420,13.00
A080440,-10.00
A080470,-41.00
A080520,-65.00
A080530,-60.00
A080580,-38.00
A080720,-40.00
A081150,-12.00
A081580,61.00
A082210,1.00
A082270,232.00
A082660,-64.00
A082800,18.00
A082850,-40.00
A082920,17.00
A083310,0
A083450,64.00
A083470,-29.00
A083500,24.00
A083550,-45.00
A083640,224.00
A083650,-58.00
A083660,-20.00
A083790,-28.00
A083930,-37.00
A084110,160.00
A084180,-30.00
A084370,56.00
A084650,385.00
A084730,-30.00
A084850,-3.00
A084990,102.00
A085370,91.00
A08537M,8.00
A085660,-64.00
A085670,-16.00
A085810,-38.00
A085910,-9.00
A086040,34.00
A086060,-14.00
