,Date,SellPrices,Trades
0,2020-06-22,"[51400.0, 3250.0, 10700.0, 2662.0, 2800.0]","{'A311690': 48750.0, 'A047770': 3035.0, 'A205470': 9120.0, 'A215090': 2603.0, 'A001000': 2930.0}"
1,2020-06-23,"[3585.0, 3620.0, 11850.0, 1765.0, 6680.0]","{'A320000': 3315.0, 'A095500': 3145.0, 'A205470': 11850.0, 'A046070': 1500.0, 'A035810': 6350.0}"
2,2020-06-24,"[49780.0, 4340.0, 44620.0, 3500.0, 2900.0]","{'A175250': 41162.0, 'A048770': 4075.0, 'A288620': 40139.0, 'A307180': 3080.0, 'A052220': 2700.0}"
3,2020-06-25,"[16000.0, 5990.0, 11100.0, 6340.0, 26900.0]","{'A109820': 15600.0, 'A096610': 5160.0, 'A205470': 15400.0, 'A045390': 6510.0, 'A084650': 25400.0}"
4,2020-06-26,"[6399.0, 12350.0, 1050.0, 13550.0, 4130.0]","{'A290660': 5499.0, 'A039860': 11550.0, 'A109960': 1080.0, 'A032850': 13900.0, 'A234100': 4050.0}"
5,2020-06-29,"[14000.0, 5600.0, 42700.0, 14300.0, 29750.0]","{'A297090': 13050.0, 'A100130': 5310.0, 'A112040': 43500.0, 'A088800': 13650.0, 'A178320': 29200.0}"
6,2020-06-30,"[4750.0, 3380.0, 1885.0, 11250.0, 50200.0]","{'A036120': 4885.0, 'A039740': 3260.0, 'A900250': 1765.0, 'A258830': 10150.0, 'A032685': 53000.0}"
7,2020-07-01,"[1240.0, 3930.0, 223500.0, 4800.0, 8470.0]","{'A066790': 1240.0, 'A016100': 4140.0, 'A140410': 228200.0, 'A027050': 5090.0, 'A044960': 8310.0}"
8,2020-07-02,"[5140.0, 6690.0, 4520.0, 5150.0, 3440.0]","{'A080520': 5200.0, 'A036930': 6820.0, 'A098120': 4520.0, 'A234100': 5080.0, 'A217190': 3465.0}"
9,2020-07-03,"[782.0, 5750.0, 19850.0, 6250.0, 1825.0]","{'A019550': 738.0, 'A038010': 5450.0, 'A036480': 19000.0, 'A234100': 6430.0, 'A058400': 1850.0}"
10,2020-07-06,"[2315.0, 4900.0, 6890.0, 1870.0, 1045.0]","{'A063440': 2175.0, 'A053280': 4720.0, 'A147760': 6950.0, 'A048550': 1830.0, 'A045890': 1045.0}"
11,2020-07-07,"[1825.0, 9000.0, 6240.0, 7440.0, 990.0]","{'A085810': 1800.0, 'A265560': 8475.0, 'A096610': 6110.0, 'A217270': 7440.0, 'A024910': 996.0}"
12,2020-07-08,"[212747.0, 2748.0, 5830.0, 1270.0, 9060.0]","{'A086900': 197042.0, 'A032860': 2872.0, 'A036120': 5600.0, 'A042040': 1225.0, 'A038870': 9180.0}"
13,2020-07-09,"[28900.0, 14250.0, 7700.0, 2180.0, 17050.0]","{'A121600': 28600.0, 'A224110': 13250.0, 'A025950': 7740.0, 'A048870': 2155.0, 'A045660': 17200.0}"
14,2020-07-10,"[567.0, 8600.0, 10200.0, 2590.0, 5670.0]","{'A065500': 477.0, 'A263800': 8430.0, 'A131370': 10100.0, 'A182690': 2665.0, 'A119850': 5750.0}"
15,2020-07-13,"[8124.0, 15850.0, 11350.0, 12000.0, 2770.0]","{'A245620': 7713.0, 'A256940': 15900.0, 'A061040': 11300.0, 'A205470': 11850.0, 'A024940': 2900.0}"
16,2020-07-14,"[4530.0, 3680.0, 51927.0, 3590.0, 2180.0]","{'A025320': 4010.0, 'A024940': 3680.0, 'A288620': 51245.0, 'A307180': 3580.0, 'A258790': 2185.0}"
17,2020-07-15,"[21200.0, 9480.0, 1950.0, 12100.0, 18550.0]","{'A045660': 21250.0, 'A148140': 8370.0, 'A057880': 1780.0, 'A051380': 12600.0, 'A224110': 19300.0}"
18,2020-07-16,"[26000.0, 2900.0, 910.0, 28850.0, 16028.0]","{'A090460': 26700.0, 'A018700': 2845.0, 'A195990': 847.0, 'A290550': 23750.0, 'A065370': 15111.0}"
19,2020-07-17,"[3875.0, 9270.0, 18150.0, 4300.0, 4895.0]","{'A054220': 3875.0, 'A041930': 8810.0, 'A109820': 17750.0, 'A220260': 4095.0, 'A087600': 4850.0}"
20,2020-07-20,"[2310.0, 8810.0, 2650.0, 855.0, 25500.0]","{'A016920': 2040.0, 'A048430': 8860.0, 'A076080': 2150.0, 'A011080': 735.0, 'A109820': 22650.0}"
21,2020-07-21,"[3215.0, 1100.0, 2450.0, 5460.0, 28504.0]","{'A076080': 2795.0, 'A011080': 955.0, 'A196700': 2280.0, 'A045340': 5430.0, 'A012790': 25780.0}"
