Code,Return
A000250,283.00
A000440,22.00
A001000,18.00
A001540,-8.00
A001810,94.00
A001840,112.00
A002230,17.00
A002290,27.00
A002680,-38.00
A002800,10.00
A003100,78.00
A003310,68.00
A003380,-5.00
A003800,32.00
A004590,11.00
A004650,-23.00
A004780,16.00
A005160,55.00
A005290,125.00
A005670,11.00
A005710,34.00
A005860,4.00
A005990,-48.00
A006050,-46.00
A006140,21.00
A006580,49.00
A006620,-46.00
A006730,-29.00
A006910,41.00
A006920,10.00
A007330,182.00
A007370,9.00
A007390,38.00
A007530,53.00
A007680,-7.00
A007720,0
A007770,95.00
A007820,-1.00
A008290,-76.00
A008370,14.00
A008470,23.00
A008800,-72.00
A008830,81.00
A009300,-35.00
A009520,108.00
A009620,0
A009730,21.00
A009780,-60.00
A010170,34.00
A010240,-1.00
A010280,-27.00
A010470,4.00
A011040,-5.00
A011080,146.00
A011320,38.00
A011370,69.00
A011560,41.00
A012340,16.00
A012620,25.00
A012700,-8.00
A012790,-34.00
A012860,-54.00
A013030,-17.00
A013120,16.00
A013310,-15.00
A013720,305.00
A013810,222.00
A013990,-57.00
A014100,-32.00
A014190,395.00
A014200,1.00
A014470,38.00
A014570,11.00
A014620,-11.00
A014940,6.00
A014970,-3.00
A015710,-5.00
A015750,-26.00
A016100,-28.00
A016250,41.00
A016600,15.00
A016670,-62.00
A016790,-46.00
A016920,49.00
A017000,99.00
A017250,-18.00
A017480,12.00
A017510,-40.00
A017650,153.00
A017890,-14.00
A018000,245.00
A018120,-3.00
A018290,25.00
A018310,-10.00
A018620,37.00
A018680,10.00
A018700,-56.00
A019010,82.00
A019210,-7.00
A019540,-51.00
A019550,-20.00
A019570,-58.00
A019590,12.00
A019660,37.00
A019770,-47.00
A019990,53.00
A020180,-55.00
A020400,-44.00
A020710,-6.00
A021040,-29.00
A021045,68.00
A021080,-61.00
A021320,55.00
A021650,-9.00
A021880,130.00
A022100,2.00
A022220,8.00
A023160,-3.00
A023410,65.00
A023440,-24.00
A023460,90.00
A023600,0
A023760,-46.00
A023770,40.00
A023790,150.00
A023900,134.00
A023910,5.00
A024060,20.00
A024120,68.00
A024740,107.00
A024800,-49.00
A024810,-25.00
A024830,-2.00
A024840,-25.00
A024850,-10.00
A024880,-1.00
A024910,-46.00
A024940,144.00
A024950,111.00
A025320,80.00
A025440,10.00
A025550,-17.00
A025770,-18.00
A025870,400.00
A025880,118.00
A025900,207.00
A025950,692.00
A025980,-38.00
A026040,-46.00
A026150,2.00
A026910,-9.00
A027040,4.00
A027050,-47.00
A027360,22.00
A027580,-45.00
A027710,35.00
A027830,336.00
A028080,-57.00
A028150,-12.00
A028300,371.00
A029480,-49.00
A029960,237.00
A030190,169.00
A030350,-65.00
A030520,-11.00
A030530,-5.00
A030960,-26.00
A031310,12.00
A031330,21.00
A031390,-30.00
A031510,315.00
A031860,-30.00
A031980,-12.00
A032080,-26.00
A032190,17.00
A032280,-52.00
A032300,188.00
A032500,1204.00
A032540,3.00
A032580,-9.00
A032620,39.00
A032680,-44.00
A032685,58.00
A032750,-21.00
A032790,-58.00
A032800,-35.00
A032820,-48.00
A032850,25.00
A032860,-35.00
A032940,37.00
A032960,49.00
A032980,-21.00
A033050,-8.00
A033100,-6.00
A033110,-82.00
A033130,7.00
A033160,7.00
A033170,-23.00
A033200,45.00
A033230,-48.00
A033290,52.00
A033310,213.00
A033320,151.00
A033340,-47.00
A033430,-60.00
A033500,-27.00
A033540,13.00
A033560,-2.00
A033600,-74.00
A033640,-12.00
A033790,-42.00
A033830,-20.00
A034230,-21.00
A034810,-7.00
A034940,-31.00
A034950,93.00
A035080,25.00
A035200,52.00
A035290,-38.00
A035460,69.00
A035600,-29.00
A035610,99.00
A035620,-47.00
A035760,-16.00
A035810,-39.00
A035890,94.00
A035900,29.00
A036000,-10.00
A036010,2.00
A036030,13.00
A036090,145.00
A036120,334.00
A036170,-50.00
A036180,-49.00
A036190,-9.00
A036200,206.00
A036480,11.00
A036490,-54.00
A036540,372.00
A036560,7.00
A036620,-38.00
A036630,36.00
A036640,68.00
A036670,-9.00
A036690,10.00
A036710,78.00
A036800,-7.00
A036810,367.00
A036830,0
A036890,106.00
A036930,-26.00
A037030,46.00
A037070,327.00
A037230,240.00
A037330,65.00
A037350,-25.00
A037370,29.00
A037400,76.00
A037440,6.00
A037460,6.00
A037760,-29.00
A037950,-25.00
A038010,0
A038060,-12.00
A038070,1.00
A038110,-9.00
A038160,-67.00
A038290,-1.00
A038340,-79.00
A038390,59.00
A038460,-59.00
A038500,45.00
A038530,-46.00
A038540,-28.00
A038620,94.00
A038680,-8.00
A038870,56.00
A038880,-54.00
A038950,47.00
A039010,24.00
A039020,64.00
A039030,33.00
A039200,-15.00
A039230,-58.00
A039240,79.00
A039290,-31.00
A039310,-54.00
A039340,16.00
A039420,25.00
A039440,39.00
A039560,-36.00
A039610,94.00
A039670,-68.00
A039740,13.00
A039830,-30.00
A039840,-39.00
A039860,-19.00
A039980,-34.00
A040160,13.00
A040300,108.00
A040350,21.00
A040420,-1.00
A040610,-41.00
A040910,57.00
A041020,49.00
A041140,89.00
A041190,1283.00
A041440,11.00
A041460,115.00
A041510,-53.00
A041520,68.00
A041590,-38.00
A041830,-46.00
A041910,-56.00
A041920,30.00
A041930,92.00
A041960,-70.00
A042000,80.00
A042040,-17.00
A042110,31.00
A042370,62.00
A042420,163.00
A042500,-27.00
A042510,32.00
A042520,-12.00
A042600,0
A042940,-21.00
A043090,-53.00
A043100,-13.00
A043150,-39.00
A043200,-11.00
A043220,-47.00
A043260,-1.00
A043290,108.00
A043340,-20.00
A043360,122.00
A043370,135.00
A043590,28.00
A043610,174.00
A043650,30.00
A043710,10.00
A043910,-46.00
A044060,-66.00
A044180,18.00
A044340,74.00
A044480,-12.00
A044490,8.00
A044780,-8.00
A044960,55.00
A045060,-45.00
A045100,4.00
A045300,-19.00
A045340,802.00
A045390,232.00
A045510,-46.00
A045520,262.00
A045660,737.00
A045890,-65.00
A045970,-7.00
A046070,-51.00
A046110,79.00
A046120,34.00
A046140,-34.00
A046210,-32.00
A046310,6.00
A046390,-37.00
A046440,12.00
A046890,-5.00
A046940,-12.00
A046970,9.00
A047080,-71.00
A047310,75.00
A047560,-33.00
A047770,-66.00
A047820,-41.00
A047920,-36.00
A048260,47.00
A048410,364.00
A048430,-25.00
A048470,75.00
A048530,-50.00
A048550,-39.00
A048770,12.00
A048830,-19.00
A048870,-20.00
A048910,327.00
A049070,152.00
A049080,-43.00
A049120,0
A049180,-37.00
A049430,-8.00
A049470,33.00
A049480,-43.00
A049520,0
A049550,49.00
A049630,-50.00
A049720,141.00
A049830,144.00
A049950,-15.00
A049960,-62.00
A050090,-26.00
A050110,-19.00
A050120,-63.00
A050320,-55.00
A050540,-46.00
A050760,114.00
A050860,-28.00
A050890,119.00
A050960,456.00
A051160,1.00
A051360,-38.00
A051370,-60.00
A051380,58.00
A051390,-8.00
A051490,135.00
A051500,5.00
A051780,0
A051980,-32.00
A052020,-46.00
A052190,-62.00
A052220,95.00
A052260,-58.00
A052300,-39.00
A052330,-16.00
A052400,-12.00
A052420,-21.00
A052460,330.00
A052600,20.00
A052670,15.00
A052710,-63.00
A052770,-36.00
A052790,-40.00
A052860,32.00
A052900,53.00
A053030,-38.00
A053050,-2.00
A053060,-35.00
A053080,6.00
A053110,-64.00
A053160,359.00
A053260,146.00
A053270,92.00
A053280,151.00
A053290,-69.00
A053300,-10.00
A053350,-17.00
A053450,-30.00
A053580,160.00
A053590,0
A053610,194.00
A053620,-16.00
A053660,-24.00
A053700,37.00
A053800,3.00
A053950,-46.00
A053980,-56.00
A054040,120.00
A054050,-41.00
A054090,44.00
A054180,-33.00
A054210,-42.00
A054220,-56.00
A054300,-58.00
A054410,54.00
A054450,-9.00
A054540,-48.00
A054620,28.00
A054630,-63.00
A054670,1.00
A054780,-42.00
A054800,-11.00
A054920,191.00
A054930,29.00
A054940,1.00
A054950,46.00
A056000,-62.00
A056080,99.00
A056090,-59.00
A056190,-3.00
A056360,-12.00
A056700,-42.00
A056730,-23.00
A057030,195.00
A057540,-15.00
A057680,53.00
A057880,-20.00
A058110,-52.00
A058220,-2.00
A058400,112.00
A058420,-87.00
A058450,-7.00
A058470,292.00
A058530,-50.00
A058610,98.00
A058630,8.00
A058820,-47.00
A059090,329.00
A059100,-43.00
A059120,93.00
A059210,-22.00
A059270,-100.00
A060150,67.00
A060230,26.00
A060240,-13.00
A060250,156.00
A060260,25.00
A060280,-9.00
A060300,-71.00
A060310,-24.00
A060370,54.00
A060380,52.00
A060480,35.00
A060540,60.00
A060560,-36.00
A060570,81.00
