,Date,SellPrices,Trades
0,2016-08-02 09:00:00,"[3974.0, 13700.0, 1208.0, 36800.0, 38384.0]","{'A036620': 4174.0, 'A064240': 12850.0, 'A127160': 1220.0, 'A191420': 38750.0, 'A196450': 39796.0}"
1,2016-08-03 09:00:00,"[15400.0, 5320.0, 5700.0, 4300.0, 38314.0]","{'A032790': 17350.0, 'A047770': 5500.0, 'A083470': 5510.0, 'A104040': 4210.0, 'A196450': 38878.0}"
2,2016-08-04 09:00:00,"[6199.0, 15494.0, 2494.0, 40572.0, 10754.0]","{'A078650': 5957.0, 'A089140': 11921.0, 'A111870': 2567.0, 'A196450': 39161.0, 'A208860': 10304.0}"
3,2016-08-05 09:00:00,"[5230.0, 8400.0, 16129.0, 6253.0, 40572.0]","{'A066900': 5150.0, 'A071670': 6890.0, 'A089140': 16028.0, 'A131760': 5828.0, 'A196450': 40078.0}"
4,2016-08-08 09:00:00,"[6780.0, 9680.0, 5812.0, 12150.0, 40713.0]","{'A038950': 7360.0, 'A071670': 8800.0, 'A106080': 6043.0, 'A136510': 12000.0, 'A196450': 41912.0}"
5,2016-08-09 09:00:00,"[5150.0, 5770.0, 2365.0, 9280.0, 42195.0]","{'A036640': 4520.0, 'A038010': 5980.0, 'A049120': 2220.0, 'A071670': 10300.0, 'A196450': 41277.0}"
6,2016-08-10 09:00:00,"[8580.0, 5848.0, 4900.0, 133251.0, 40078.0]","{'A039290': 8750.0, 'A064260': 6042.0, 'A093380': 5260.0, 'A106520': 133691.0, 'A196450': 40925.0}"
7,2016-08-11 09:00:00,"[5836.0, 1260.0, 3485.0, 41066.0, 11500.0]","{'A021650': 5774.0, 'A058400': 1090.0, 'A123840': 3511.0, 'A196450': 40360.0, 'A211270': 10850.0}"
8,2016-08-12 09:00:00,"[3140.0, 1310.0, 6332.0, 8500.0, 40501.0]","{'A032980': 3070.0, 'A058400': 1320.0, 'A066110': 6559.0, 'A069330': 8290.0, 'A196450': 40148.0}"
9,2016-08-16 09:00:00,"[1419.0, 2102.0, 8976.0, 1455.0, 39372.0]","{'A038620': 1555.0, 'A060560': 2276.0, 'A109610': 9589.0, 'A153490': 1635.0, 'A196450': 40007.0}"
10,2016-08-17 09:00:00,"[3930.0, 5660.0, 38314.0, 7390.0, 2385.0]","{'A010240': 3195.0, 'A045660': 6130.0, 'A196450': 39372.0, 'A224110': 8380.0, 'A900070': 2365.0}"
11,2016-08-18 09:00:00,"[3920.0, 2518.0, 2135.0, 3673.0, 38949.0]","{'A010240': 3930.0, 'A060560': 2486.0, 'A065770': 2130.0, 'A111870': 3641.0, 'A196450': 38596.0}"
12,2016-08-19 09:00:00,"[27800.0, 3501.0, 6490.0, 39372.0, 13628.0]","{'A009300': 31200.0, 'A045300': 3445.0, 'A045660': 7020.0, 'A196450': 39019.0, 'A214310': 14033.0}"
13,2016-08-22 09:00:00,"[4690.0, 5160.0, 4229.0, 39584.0, 3915.0]","{'A043360': 4895.0, 'A079810': 5380.0, 'A155650': 4456.0, 'A196450': 38808.0, 'A900270': 3495.0}"
14,2016-08-23 09:00:00,"[9030.0, 37044.0, 2870.0, 10184.0, 1268.0]","{'A154040': 9030.0, 'A196450': 38173.0, 'A220260': 2655.0, 'A222980': 10534.0, 'A224060': 978.0}"
15,2016-08-24 09:00:00,"[28450.0, 5530.0, 38102.0, 1328.0, 1903.0]","{'A140410': 31400.0, 'A193250': 5290.0, 'A196450': 38384.0, 'A224060': 1268.0, 'A230980': 1777.0}"
16,2016-08-25 09:00:00,"[10200.0, 5980.0, 36134.0, 35105.0, 1356.0]","{'A039290': 10750.0, 'A147830': 5740.0, 'A192410': 35723.0, 'A196450': 35844.0, 'A900110': 1469.0}"
17,2016-08-26 09:00:00,"[9740.0, 18100.0, 4588.0, 34151.0, 1205.0]","{'A052190': 10600.0, 'A092460': 18550.0, 'A095190': 4588.0, 'A196450': 34998.0, 'A215480': 1328.0}"
18,2016-08-29 09:00:00,"[6373.0, 2250.0, 55853.0, 34574.0, 2920.0]","{'A006140': 6547.0, 'A033600': 2440.0, 'A096690': 58048.0, 'A196450': 34292.0, 'A214680': 3240.0}"
