Code,Return
A000250,781.00
A000440,167.00
A001000,125.00
A001540,67.00
A001810,-15.00
A001840,-22.00
A002230,-37.00
A002290,75.00
A002680,-32.00
A002800,-45.00
A003100,-1.00
A003310,113.00
A003380,-41.00
A003800,216.00
A004590,194.00
A004650,-35.00
A004780,13.00
A005160,-44.00
A005290,577.00
A005670,248.00
A005710,176.00
A005860,91.00
A005990,-11.00
A006050,222.00
A006140,97.00
A006580,0
A006620,-36.00
A006730,-1.00
A006910,-73.00
A006920,-3.00
A007330,113.00
A007370,127.00
A007390,-64.00
A007530,-2.00
A007680,-20.00
A007720,86.00
A007770,16.00
A007820,-2.00
A008290,244.00
A008370,4.00
A008470,-36.00
A008800,-52.00
A008830,31.00
A009300,225.00
A009520,100.00
A009620,-24.00
A009730,-63.00
A009780,426.00
A010170,16.00
A010240,127.00
A010280,16.00
A010470,150.00
A011040,109.00
A011080,-18.00
A011320,262.00
A011370,69.00
A011560,26.00
A012340,-70.00
A012620,73.00
A012700,121.00
A012790,454.00
A012860,-14.00
A013030,-4.00
A013120,362.00
A013310,-68.00
A013720,56.00
A013810,56.00
A013990,-7.00
A014100,109.00
A014190,-5.00
A014200,155.00
A014470,213.00
A014570,325.00
A014620,-56.00
A014940,-50.00
A014970,457.00
A015710,51.00
A015750,-32.00
A016100,-22.00
A016250,105.00
A016600,5.00
A016670,0
A016790,-20.00
A016920,-15.00
A017000,50.00
A017250,2.00
A017480,-38.00
A017510,-71.00
A017650,210.00
A017890,279.00
A018000,-76.00
A018120,93.00
A018290,19.00
A018310,102.00
A018620,223.00
A018680,325.00
A018700,-86.00
A019010,71.00
A019210,47.00
A019540,-29.00
A019550,-7.00
A019570,-24.00
A019590,-37.00
A019660,-66.00
A019770,-50.00
A019990,-73.00
A020180,154.00
A020400,23.00
A020710,18.00
A021040,-24.00
A021045,244.00
A021080,126.00
A021320,-51.00
A021650,-6.00
A021880,-32.00
A022100,-52.00
A022220,-35.00
A023160,-59.00
A023410,20.00
A023440,21.00
A023460,13.00
A023600,185.00
A023760,-26.00
A023770,100.00
A023790,-68.00
A023900,559.00
A023910,819.00
A024060,138.00
A024120,-44.00
A024740,-61.00
A024800,-19.00
A024810,-81.00
A024830,-17.00
A024840,-78.00
A024850,-25.00
A024880,-24.00
A024910,-5.00
A024940,158.00
A024950,-22.00
A025320,-72.00
A025440,-10.00
A025550,54.00
A025770,217.00
A025870,211.00
A025880,-22.00
A025900,596.00
A025950,-1.00
A025980,1652.00
A026040,-15.00
A026150,-4.00
A026910,-17.00
A027040,6.00
A027050,267.00
A027360,14.00
A027580,-82.00
A027710,12.00
A027830,181.00
A028080,-63.00
A028150,0
A028300,1646.00
A029480,-77.00
A029960,386.00
A030190,519.00
A030350,-70.00
A030520,203.00
A030530,-16.00
A030960,352.00
A031310,155.00
A031330,-17.00
A031390,-59.00
A031510,-58.00
A031860,-37.00
A031980,3.00
A032080,-29.00
A032190,296.00
A032280,-8.00
A032300,-100.00
A032500,1086.00
A032540,-30.00
A032580,-3.00
A032620,108.00
A032680,229.00
A032685,441.00
A032750,108.00
A032790,5.00
A032800,-4.00
A032820,-79.00
A032850,103.00
A032860,0
A032940,2.00
A032960,17.00
A032980,-94.00
A033050,-86.00
A033100,-19.00
A033110,-90.00
A033130,-7.00
A033160,30.00
A033170,-76.00
A033200,-26.00
A033230,0
A033290,217.00
A033310,-45.00
A033320,14.00
A033340,29.00
A033430,-90.00
A033500,-14.00
A033540,221.00
A033560,44.00
A033600,-71.00
A033640,-6.00
A033790,-60.00
A033830,-47.00
A034230,263.00
A034810,-43.00
A034940,21.00
A034950,287.00
A035080,-68.00
