Code,Return
A048830,27.00
A048870,58.00
A048910,12.00
A049070,32.00
A049080,-16.00
A049120,71.00
A049180,-18.00
A049430,-2.00
A049470,0
A049480,-56.00
A049520,145.00
A049550,7.00
A049630,68.00
A049720,36.00
A049830,114.00
A049950,38.00
A049960,74.00
A050090,10.00
A050110,87.00
A050120,28.00
A050320,36.00
A050540,-23.00
A050760,17.00
A050860,-66.00
A050890,16.00
A050960,-14.00
A051160,208.00
A051360,63.00
A051370,1.00
A051380,6.00
A051390,24.00
A051490,-3.00
A051500,81.00
A051780,-8.00
A051980,14.00
A052020,333.00
A052190,-23.00
A052220,-51.00
A052260,255.00
A052300,20.00
A052330,43.00
A052400,20.00
A052420,0
A052460,10.00
A052600,66.00
A052670,-27.00
A052710,17.00
A052770,-63.00
A052790,24.00
A052860,20.00
A052900,-57.00
A053030,107.00
A053050,-4.00
A053060,-27.00
A053080,-100.00
A053110,-1.00
A053160,420.00
A053260,38.00
A053270,48.00
A053280,-24.00
A053290,90.00
A053300,-21.00
A053350,73.00
A053450,-13.00
A053580,-10.00
A053590,130.00
A053610,24.00
A053620,0
A053660,-13.00
A053700,-17.00
A053800,42.00
A053950,-38.00
A053980,85.00
A054040,-45.00
A054050,3.00
A054090,0
A054180,138.00
A054210,114.00
A054220,182.00
A054300,-12.00
A054410,-45.00
A054450,-3.00
A054540,-15.00
A054620,229.00
A054630,-2.00
A054670,-27.00
A054780,-11.00
A054800,-34.00
A054920,-8.00
A054930,154.00
A054940,-12.00
A054950,24.00
A056000,12.00
A056080,26.00
A056090,19.00
A056190,117.00
A056360,105.00
A056700,65.00
A056730,-32.00
A057030,8.00
A057540,-11.00
A057680,11.00
A057880,238.00
A058110,167.00
A058220,247.00
A058400,45.00
A058420,-71.00
A058450,19.00
A058470,164.00
A058530,88.00
A058610,23.00
A058630,21.00
A058820,309.00
A059090,439.00
A059100,95.00
A059120,-11.00
A059210,38.00
A059270,-100.00
A060150,89.00
A060230,36.00
A060240,-30.00
A060250,165.00
A060260,256.00
A060280,-52.00
A060300,68.00
A060310,75.00
A060370,31.00
A060380,-6.00
A060480,33.00
A060540,14.00
A060560,38.00
A060570,-40.00
A060590,129.00
A060720,105.00
A060850,-100.00
A060900,-48.00
A061040,84.00
A061250,106.00
A061970,42.00
A062860,-62.00
A062970,12.00
A063080,10.00
A063170,-9.00
A063440,-59.00
A063570,20.00
A063760,6.00
A064090,-41.00
A064240,-41.00
A064260,-57.00
A064290,-20.00
A064480,-23.00
A064510,-18.00
A064520,301.00
A064550,216.00
A064760,31.00
A064800,105.00
A064820,11.00
A064850,61.00
A065060,110.00
A065130,-7.00
A065150,47.00
A065170,107.00
A065350,1.00
A065370,-4.00
A065420,281.00
A065440,-51.00
A065450,-10.00
A065500,89.00
A065510,262.00
A065530,41.00
A065560,-61.00
A065570,-29.00
A065620,-80.00
A065650,113.00
A065660,7.00
A065680,17.00
A065690,-20.00
A065710,3.00
A065770,-11.00
A065950,124.00
A066110,-74.00
A066130,3.00
A066310,44.00
A066360,18.00
A066410,6.00
A066430,36.00
A066590,101.00
A066620,81.00
A066670,45.00
A066700,164.00
A066790,-84.00
A066900,-20.00
A066910,-38.00
A066970,-8.00
A066980,-12.00
A067000,27.00
A067010,91.00
A067080,22.00
A067160,8.00
A067170,60.00
A067280,-34.00
A067290,244.00
A067310,-1.00
A067390,0
A067570,-13.00
A067630,-74.00
A067730,4.00
A067770,49.00
A067900,-8.00
A067920,-29.00
A067990,-36.00
A068050,-57.00
A068240,3.00
A068330,77.00
A068760,188.00
A068790,31.00
A068930,79.00
A068940,-10.00
A069080,336.00
A069110,225.00
A069140,-61.00
A069330,-12.00
A069410,161.00
A069510,23.00
A069540,56.00
A069920,50.00
A070300,-43.00
A070590,15.00
A071200,182.00
A071280,-2.00
A071460,-21.00
A071670,-25.00
A071850,10.00
A072020,-9.00
A072470,-42.00
A072520,-14.00
A072770,215.00
A072870,2.00
A072950,-8.00
A072990,-20.00
A073010,-73.00
A073070,2.00
A073110,-3.00
A073190,-51.00
A073490,108.00
A073540,-35.00
A073560,-18.00
A073570,-18.00
A073640,-29.00
A074430,32.00
A074600,118.00
A075130,32.00
A075970,-24.00
A076080,-28.00
A076610,-37.00
A077360,60.00
A078020,45.00
A078070,30.00
A078130,441.00
A078140,59.00
A078150,7.00
A078160,113.00
A078340,53.00
A078350,3.00
A078590,59.00
A078600,8.00
A078650,119.00
A078860,-1.00
A078890,96.00
A078940,71.00
A079000,2.00
A079170,31.00
A079190,27.00
A079370,32.00
A079650,27.00
A079810,36.00
A079940,173.00
A079950,-26.00
A079960,111.00
A079970,47.00
A080000,-28.00
A080010,-44.00
A080160,70.00
A080220,-19.00
A080420,98.00
A080440,-41.00
A080470,208.00
A080520,-32.00
A080530,68.00
A080580,2.00
A080720,-17.00
A081150,-59.00
A081580,61.00
A082210,123.00
A082270,324.00
A082660,-38.00
A082800,4.00
A082850,1.00
A082920,106.00
A083310,87.00
A083450,114.00
A083470,8.00
A083500,-20.00
A083550,63.00
A083640,77.00
A083650,-34.00
A083660,-53.00
A083790,-35.00
A083930,16.00
A084110,268.00
A084180,104.00
A084370,81.00
A084650,168.00
A084730,25.00
A084850,-100.00
A084990,140.00
A085370,-13.00
A08537M,-27.00
A085660,15.00
A085670,-28.00
A085810,-27.00
A085910,-11.00
A086040,223.00
A086060,1.00
A086250,11.00
A086390,60.00
A086450,115.00
A086520,7.00
A086670,-40.00
A086710,-100.00
A086820,-19.00
A086890,-34.00
A086900,92.00
A086960,72.00
A086980,13.00
A087010,-35.00
A087260,35.00
A087600,-15.00
A087730,243.00
A088130,7.00
A088290,-52.00
A088390,14.00
A088800,337.00
A088910,-30.00
A089010,0
A089030,115.00
A089140,155.00
A089150,154.00
A089230,-46.00
A089530,4.00
A089600,53.00
A089790,-21.00
A089850,2.00
A089890,-62.00
A089970,-14.00
A089980,-11.00
A090150,64.00
A090360,51.00
A090410,-11.00
A090460,270.00
A090470,147.00
A090710,57.00
A090740,86.00
A090850,-11.00
A091120,52.00
A091340,5.00
A091440,5.00
A091580,59.00
A091590,3.00
A091700,96.00
A091970,18.00
A091990,0
A092040,-15.00
A092070,183.00
A092130,-22.00
A092190,22.00
A092300,48.00
A092460,23.00
A092600,-30.00
A092730,128.00
A092870,-25.00
A093190,-7.00
A093320,187.00
A093380,-29.00
A093520,471.00
A093640,18.00
A093920,0
A094170,-25.00
A094360,-16.00
A094480,9.00
A094820,13.00
A094840,9.00
A094850,4.00
A094860,-44.00
A094940,74.00
A094970,-17.00
A095190,32.00
A095270,112.00
A095340,56.00
A095500,8.00
A095610,253.00
A095660,77.00
A095700,79.00
A095910,-29.00
A096040,12.00
A096240,-12.00
A096350,10.00
A096530,133.00
A096610,-2.00
A096630,8.00
A096640,-19.00
A096690,131.00
A096870,218.00
A097520,-10.00
A097780,52.00
A097800,-16.00
A097870,4.00
A098120,41.00
A098460,296.00
A098660,33.00
A099190,-4.00
A099220,51.00
A099320,8.00
A099410,-16.00
A099440,-23.00
A099520,-20.00
A099750,-9.00
A100030,12.00
A100090,-60.00
A100120,-9.00
A100130,2.00
A100590,-9.00
A100660,6.00
A100700,-5.00
A100790,-4.00
A101000,-43.00
A101160,139.00
A101170,-17.00
A101240,69.00
A101330,-36.00
A101360,52.00
A101390,-12.00
A101400,-6.00
A101490,503.00
A101670,11.00
A101680,-58.00
A101730,-73.00
A101930,-37.00
A102120,6.00
A102710,198.00
