,Date,SellPrices,Trades
74,2016-10-11,"[2425.0, 7715.0, 13419.0, 6675.0, 2925.0]","{'A037230': 2465.0, 'A066910': 6722.0, 'A142210': 13018.0, 'A189860': 6475.0, 'A197140': 2544.0}"
75,2016-10-12,"[8259.0, 18177.0, 6380.0, 7830.0, 3510.0]","{'A066910': 8020.0, 'A066980': 17914.0, 'A067730': 5900.0, 'A083470': 8170.0, 'A196700': 3625.0}"
76,2016-10-13,"[427.0, 4845.0, 10650.0, 6303.0, 3500.0]","{'A032800': 440.0, 'A046110': 5000.0, 'A050320': 10875.0, 'A180400': 6751.0, 'A220260': 3155.0}"
77,2016-10-14,"[580.0, 2475.0, 4010.0, 6948.0, 2130.0]","{'A032800': 572.0, 'A033540': 2412.0, 'A079650': 3484.0, 'A187270': 6984.0, 'A234100': 1858.0}"
78,2016-10-17,"[2845.0, 5530.0, 11480.0, 4600.0, 16400.0]","{'A042940': 2910.0, 'A066110': 5530.0, 'A069330': 11960.0, 'A079650': 4528.0, 'A175140': 16800.0}"
79,2016-10-18,"[2200.0, 8880.0, 3520.0, 22121.0, 2130.0]","{'A009730': 2220.0, 'A038160': 8700.0, 'A086250': 3625.0, 'A109610': 21410.0, 'A189330': 2135.0}"
80,2016-10-19,"[5430.0, 11200.0, 2970.0, 811.0, 15006.0]","{'A039860': 5540.0, 'A071670': 11500.0, 'A088290': 3020.0, 'A094860': 830.0, 'A206400': 15026.0}"
81,2016-10-20,"[10270.0, 3900.0, 14450.0, 5056.0, 3742.0]","{'A018700': 10560.0, 'A033110': 3900.0, 'A050320': 14750.0, 'A053580': 4702.0, 'A058820': 3728.0}"
82,2016-10-21,"[4360.0, 8800.0, 20925.0, 6700.0, 2120.0]","{'A011320': 4515.0, 'A079970': 8950.0, 'A109740': 21100.0, 'A121800': 6700.0, 'A220630': 2150.0}"
83,2016-10-24,"[7380.0, 7610.0, 4414.0, 18000.0, 2500.0]","{'A052020': 7250.0, 'A053160': 7850.0, 'A101000': 4303.0, 'A175140': 18200.0, 'A189330': 2360.0}"
84,2016-10-25,"[4400.0, 12580.0, 5850.0, 6430.0, 15600.0]","{'A008290': 4455.0, 'A069330': 13000.0, 'A189860': 5850.0, 'A200230': 6570.0, 'A229000': 18350.0}"
85,2016-10-26,"[2516.0, 11502.0, 5010.0, 13250.0, 10000.0]","{'A021045': 2430.0, 'A049070': 11377.0, 'A060260': 4695.0, 'A142210': 13850.0, 'A220180': 9300.0}"
86,2016-10-27,"[14678.0, 2245.0, 5056.0, 5790.0, 3560.0]","{'A018700': 14920.0, 'A020180': 2245.0, 'A053580': 5056.0, 'A060260': 5690.0, 'A070590': 3510.0}"
87,2016-10-28,"[6000.0, 4970.0, 4447.0, 80800.0, 1008.0]","{'A019770': 5340.0, 'A048870': 4875.0, 'A131760': 4500.0, 'A214370': 81600.0, 'A234100': 1184.0}"
88,2016-10-31,"[2679.0, 2535.0, 4904.0, 7820.0, 5595.0]","{'A016670': 2743.0, 'A020180': 2670.0, 'A053060': 4611.0, 'A086670': 7370.0, 'A200710': 5315.0}"
89,2016-11-01,"[7400.0, 24899.0, 4440.0, 6243.0, 8280.0]","{'A023790': 7020.0, 'A032860': 32028.0, 'A033130': 4425.0, 'A053060': 5994.0, 'A086670': 8260.0}"
90,2016-11-02,"[6100.0, 32518.0, 24400.0, 3498.0, 4950.0]","{'A009780': 6300.0, 'A049180': 33234.0, 'A064240': 24100.0, 'A067630': 3639.0, 'A090150': 5070.0}"
91,2016-11-03,"[3459.0, 6900.0, 3200.0, 2330.0, 5874.0]","{'A021045': 3182.0, 'A025950': 6170.0, 'A037030': 2465.0, 'A037950': 2250.0, 'A200710': 5921.0}"
92,2016-11-04,"[3185.0, 5550.0, 5061.0, 24100.0, 11900.0]","{'A037030': 3200.0, 'A044060': 5720.0, 'A053580': 5061.0, 'A191420': 23525.0, 'A224110': 12100.0}"
93,2016-11-07,"[6850.0, 6900.0, 5389.0, 3280.0, 2662.0]","{'A009780': 6975.0, 'A050320': 7400.0, 'A080530': 5122.0, 'A182360': 3405.0, 'A204840': 2572.0}"
94,2016-11-08,"[10455.0, 1705.0, 9110.0, 17805.0, 2100.0]","{'A038530': 9732.0, 'A064090': 1745.0, 'A100130': 9120.0, 'A109610': 17167.0, 'A214270': 1805.0}"
95,2016-11-09,"[2560.0, 2230.0, 6550.0, 15040.0, 3936.0]","{'A006050': 2630.0, 'A014940': 2415.0, 'A030960': 6440.0, 'A069330': 15060.0, 'A109960': 3029.0}"
96,2016-11-10,"[6000.0, 6540.0, 2265.0, 3845.0, 3761.0]","{'A013810': 6650.0, 'A033320': 7150.0, 'A037950': 2785.0, 'A065450': 3845.0, 'A109960': 3936.0}"
97,2016-11-11,"[5920.0, 4500.0, 4225.0, 5041.0, 9440.0]","{'A019770': 5750.0, 'A037030': 4140.0, 'A047770': 3755.0, 'A053580': 5041.0, 'A079170': 9710.0}"
98,2016-11-14,"[786.0, 7280.0, 3000.0, 5581.0, 650.0]","{'A021880': 759.0, 'A053160': 7000.0, 'A064850': 3225.0, 'A121800': 5581.0, 'A234100': 738.0}"
