Date,Close,Open,High,Low,Volume,Change
2010-01-04,133.9,136.25,136.61,133.14,7600000.0,-0.0046
2010-01-05,134.69,133.43,135.48,131.81,8860000.0,0.0059
2010-01-06,132.25,134.6,134.73,131.65,7180000.0,-0.0181
2010-01-07,130.0,132.01,132.32,128.8,11030000.0,-0.017
2010-01-08,133.52,130.56,133.68,129.03,9830000.0,0.0271
2010-01-11,130.31,132.62,132.8,129.21,8790000.0,-0.024
2010-01-12,127.35,128.99,129.82,126.55,9100000.0,-0.0227
2010-01-13,129.11,127.9,129.71,125.75,10730000.0,0.0138
2010-01-14,127.35,129.14,130.38,126.4,9790000.0,-0.013600000000000001
2010-01-15,127.14,129.18,129.65,127.06,15380000.0,-0.0016
2010-01-19,127.61,126.2,128.0,124.33,8900000.0,0.0037
2010-01-20,125.78,127.13,129.2,125.08,9080000.0,-0.0143
2010-01-21,126.62,127.26,128.15,125.0,9980000.0,0.0067
2010-01-22,121.43,125.6,127.67,120.76,11580000.0,-0.040999999999999995
2010-01-25,120.31,122.1,122.28,118.12,12030000.0,-0.0092
2010-01-26,119.48,120.56,122.98,119.06,9570000.0,-0.0069
2010-01-27,122.75,121.03,123.33,118.8,14770000.0,0.0274
2010-01-28,126.03,124.43,127.2,122.8,27290000.0,0.026699999999999998
2010-01-29,125.41,129.77,131.85,124.14,29480000.0,-0.0049
2010-02-01,118.87,123.18,124.86,113.82,37770000.0,-0.0521
2010-02-02,118.12,118.79,118.98,114.4,23080000.0,-0.0063
2010-02-03,119.1,117.12,119.61,116.56,12410000.0,0.0083
2010-02-04,115.94,118.64,120.33,115.74,12780000.0,-0.0265
2010-02-05,117.39,115.88,117.65,114.1,11030000.0,0.0125
2010-02-08,116.83,119.38,121.0,116.56,9900000.0,-0.0048
2010-02-09,118.03,118.2,119.09,117.0,9230000.0,0.0103
2010-02-10,117.36,118.0,118.61,116.0,6240000.0,-0.005699999999999999
2010-02-11,120.09,117.21,120.42,116.5,8340000.0,0.0233
2010-02-12,119.66,118.99,119.94,117.5,8080000.0,-0.0036
2010-02-16,117.53,120.06,120.5,117.18,8940000.0,-0.0178
2010-02-17,116.31,117.08,117.13,115.55,8950000.0,-0.0104
2010-02-18,118.08,115.84,118.51,114.82,9810000.0,0.0152
2010-02-19,117.52,117.91,119.09,117.0,7120000.0,-0.004699999999999999
2010-02-22,118.01,117.37,118.97,116.18,6810000.0,0.0042
2010-02-23,117.24,118.01,119.25,116.51,7070000.0,-0.006500000000000001
2010-02-24,119.72,117.96,119.8,117.15,7390000.0,0.0212
2010-02-25,118.2,118.17,118.34,115.85,9540000.0,-0.0127
2010-02-26,118.4,117.88,119.43,117.0,5720000.0,0.0017000000000000001
2010-03-01,124.54,118.85,124.66,117.53,13300000.0,0.0519
2010-03-02,125.53,125.01,127.35,124.8,12100000.0,0.0079
2010-03-03,125.89,125.4,126.94,124.43,6440000.0,0.0029
2010-03-04,128.53,125.96,128.85,125.57,7510000.0,0.021
2010-03-05,128.91,129.13,129.45,127.07,6770000.0,0.003
