time,open,high,low,close,Volume,Volume MA,EMA,Basis,Upper,Lower,MA,MA,RSI,%K,%D
2015-03-23T17:30:00Z,108,108,107.59,108,925,1565.25,106.76851760041343,107.21125499999994,108.3402015469769,106.08230845302297,106.77830249999991,107.9671999999999,63.00633058419279,99.28104575163411,99.0570096931139
2015-03-23T18:30:00Z,107.99,108,107.739,108,974,1548.95,106.82858991258838,107.24325499999993,108.4224170015654,106.06409299843446,106.82780249999989,107.9911999999999,63.006330584192796,99.28104575163411,99.28104575163401
2015-03-23T19:30:00Z,107.78,108,107.29,107.33,2131,1484.6,106.8530489412426,107.25425499999992,108.43234353060627,106.07616646939356,106.8605524999999,107.85719999999992,52.14802274845046,86.78500986193295,95.11570045506697
2015-03-24T13:30:00Z,107.75,107.96,107.46,107.74,426,1465.7,106.89631484654784,107.28375999999994,108.47934439836958,106.08817560163031,106.9045274999999,107.80519999999993,57.02839828484509,81.46183151498447,89.17596237618375
2015-03-24T14:30:00Z,107.97,107.97,107.8661,107.8661,339,1427.65,106.94362143939917,107.34656499999994,108.52583496448119,106.16729503551869,106.94142999999993,107.78721999999993,58.432576945146245,78.72039466630612,82.32241201440775
2015-03-24T15:30:00Z,108,109.66,107.97,108.38,10249,1927.6,107.01368868625774,107.44206499999993,108.6312331921121,106.25289680788775,106.98942999999993,107.86321999999993,63.64619187899193,78.95929932441011,79.71384183523345
2015-03-24T16:30:00Z,108.24,108.48,107.96,107.96,4892,2029.05,107.05985021375736,107.49711499999994,108.67510368972944,106.31912631027043,107.0374299999999,107.85521999999992,57.31862203334393,61.972766385269246,73.21748679199506
2015-03-24T17:30:00Z,109.24,109.24,108.15,108.93,400,1959.9,107.15107703259847,107.61311499999992,108.87290491626906,106.35332508373078,107.08642999999991,108.17521999999992,65.78016497287481,54.90197962278063,65.27801511081991
2015-03-24T18:30:00Z,107.9801,109.18,107.9801,108.52,550,1969.4,107.2178537627156,107.72311499999994,108.8930421059053,106.55318789409458,107.12367999999992,108.33121999999995,60.335388560873,52.55486658667454,56.476537531574714
2015-03-24T19:30:00Z,109.05,109.06,108.54,109.02,995,1979.15,107.30576333526606,107.83211499999993,109.05751662931532,106.60671337068455,107.19042999999992,108.56199999999994,64.22442930673697,66.2620804602338,57.90630888989623
2015-03-25T13:30:00Z,109.48,109.96,108.5668,108.5668,875,1725.85,107.36727731891162,107.91045499999993,109.11317270001697,106.70773729998288,107.2541999999999,108.59935999999993,58.614599670210794,59.36866717798742,59.39520474163182
2015-03-25T14:30:00Z,108.84,109.7,108.84,109.7,400,1740.85,107.48106866920861,108.07495499999996,109.31128427891545,106.83862572108447,107.34194999999991,108.94735999999993,66.4951778761313,71.44592312227145,65.69222358683079
2015-03-25T15:30:00Z,109.16,109.28,109.14,109.14,672,1709.65,107.56199214875942,108.18144999999996,109.39932777794516,106.96357222205475,107.41869999999992,108.98935999999995,60.376661043216004,69.8112170391711,66.87526911314323
2015-03-25T16:30:00Z,107.9701,108.46,107.9701,108.07,1219,1731.6,107.58677301955164,108.21294999999995,109.38418519500497,107.04171480499492,107.46194999999992,108.89935999999996,50.7649556242327,62.921348314606824,68.05949615868303
2015-03-25T17:30:00Z,108.26,108.54,107.96,108.2605,3472,1837.9,107.61963775030522,108.25446999999994,109.36926936151119,107.1396706384887,107.49971249999992,108.74745999999996,52.22324559653065,44.950062421972405,59.22754259191668
2015-03-25T18:30:00Z,108.55,108.55,108,108.21,400,1777.9,107.64843590882691,108.27646999999995,109.36930800099248,107.18363199900742,107.54046249999995,108.67609999999995,51.78536302256319,33.3395755305865,47.07032875572182
2015-03-25T19:30:00Z,108.21,108.3808,107,107,900,1722.15,107.61680488888413,108.23246999999996,109.44942864202807,107.01551135797186,107.54621249999994,108.13609999999997,42.57412142699195,23.601747815230812,33.96379525592982
2015-03-26T13:30:00Z,107.48,107.48,105.12,105.3901,928,1624.8,107.50818513820685,108.10197499999997,109.83917894297943,106.3647710570205,107.51996499999993,107.38611999999996,33.92726556044954,13.345835783782624,23.429053043199886
2015-03-26T14:30:00Z,106.07,106.275,106.07,106.09,300,1569.85,107.4390053753675,108.00647499999995,109.95299123150491,106.059958768495,107.52221499999993,106.99011999999996,39.66455574734162,8.540633608815492,15.162739069276219
2015-03-26T15:30:00Z,106.09,106.48,106.09,106.4621,445,1574.6,107.39135145461786,107.93177999999996,109.99166284870964,105.87189715129028,107.53501749999995,106.63043999999995,42.52210516304855,17.783746556473933,13.223405316357258
2015-03-26T16:30:00Z,106.23,106.35,105.51,105.85,7002,1878.45,107.31616357878285,107.82427999999996,110.07432958843219,105.57423041156773,107.51776749999995,106.15843999999996,39.230606732615996,20.9511019283747,15.758494031221282
2015-03-26T17:30:00Z,105.94,106.28,105.77,106.0601,1500,1904.75,107.25489218469588,107.72728499999997,110.10244430857455,105.35212569142539,107.48526999999994,105.97045999999996,40.92104780287776,20.74517906336094,19.8266758494031
2015-03-26T18:30:00Z,106.54,106.9882,106.54,106.9882,666,1831.5,107.24188280983266,107.71019499999997,110.10140718671622,105.31898281328372,107.48222499999993,106.29007999999996,47.8254664111208,24.368457300275548,22.0215794306703
2015-03-26T19:30:00Z,106.97,107,106.62,106.62,830,1851.7,107.21154706301155,107.65419499999996,110.0919971006461,105.21639289935382,107.46897749999994,106.39607999999996,45.55106777199387,29.67148760330593,24.928374655647378
2015-03-27T13:30:00Z,107.11,107.876,107.11,107.876,534,1861.45,107.24395940140123,107.65468999999996,110.09266802443204,105.21671197556788,107.50062749999995,106.67885999999996,53.648728285740994,43.25519385999748,32.4317129211929
2015-03-27T14:30:00Z,106.52,108,106.52,108,5975,1647.75,107.28083943060116,107.63568999999998,110.05662488710385,105.21475511289611,107.53887749999994,107.10885999999996,54.37022646667189,53.46572575234751,42.13080240521688
2015-03-27T15:30:00Z,108.65,110.83,108.65,109.85,2697,1538,107.40616433642549,107.73018999999996,110.33495545731178,105.12542454268815,107.61365249999994,107.86683999999995,63.49901080303897,70.7475231885789,55.82281426697455
