,Datetime,Open,High,Low,Close
0,2017-03-23,26000.0,,,21500.0
1,2017-03-24,21550.0,,,22200.0
2,2017-03-27,22000.0,,,19850.0
3,2017-03-28,19850.0,,,19300.0
4,2017-03-29,19350.0,,,19250.0
5,2017-03-30,19550.0,,,18700.0
6,2017-03-31,18700.0,,,18250.0
7,2017-04-03,18350.0,,,18350.0
8,2017-04-04,18650.0,,,18750.0
9,2017-04-05,19050.0,,,18850.0
10,2017-04-06,18950.0,,,18250.0
11,2017-04-07,18200.0,,,17550.0
12,2017-04-10,17600.0,,,16650.0
13,2017-04-11,16700.0,,,16300.0
14,2017-04-12,16900.0,,,17200.0
15,2017-04-13,17450.0,,,18450.0
16,2017-04-14,18400.0,,,17800.0
17,2017-04-17,18000.0,,,18350.0
18,2017-04-18,18350.0,,,18350.0
19,2017-04-19,18350.0,,,18100.0
20,2017-04-20,18100.0,,,18150.0
21,2017-04-21,18350.0,,,19400.0
22,2017-04-24,19050.0,,,18700.0
23,2017-04-25,18900.0,,,18600.0
24,2017-04-26,18550.0,,,18150.0
25,2017-04-27,18300.0,,,17850.0
26,2017-04-28,17850.0,,,17950.0
27,2017-05-02,18100.0,,,19250.0
28,2017-05-04,19250.0,,,19200.0
29,2017-05-08,19500.0,,,19500.0
30,2017-05-10,19550.0,,,19150.0
31,2017-05-11,19150.0,,,19000.0
32,2017-05-12,18900.0,,,19300.0
33,2017-05-15,19300.0,,,18750.0
34,2017-05-16,18950.0,,,19200.0
35,2017-05-17,19150.0,,,18850.0
36,2017-05-18,18500.0,,,18400.0
37,2017-05-19,18400.0,,,18400.0
38,2017-05-22,18600.0,,,18200.0
39,2017-05-23,18300.0,,,18450.0
40,2017-05-24,18450.0,,,18350.0
41,2017-05-25,18500.0,,,19200.0
42,2017-05-26,19750.0,,,19950.0
43,2017-05-29,20050.0,,,20000.0
44,2017-05-30,20000.0,,,20650.0
45,2017-05-31,20450.0,,,20450.0
46,2017-06-01,20450.0,,,19900.0
47,2017-06-02,20150.0,,,19700.0
48,2017-06-05,19800.0,,,19850.0
49,2017-06-07,20250.0,,,21800.0
50,2017-06-08,22150.0,,,22850.0
51,2017-06-09,23150.0,,,22800.0
52,2017-06-12,22550.0,,,23800.0
53,2017-06-13,24000.0,,,23350.0
54,2017-06-14,23000.0,,,22400.0
55,2017-06-15,22600.0,,,22750.0
56,2017-06-16,23050.0,,,22450.0
57,2017-06-19,22450.0,,,23450.0
58,2017-06-20,23550.0,,,23750.0
59,2017-06-21,24000.0,,,23450.0
60,2017-06-22,23500.0,,,22600.0
61,2017-06-23,21950.0,,,22050.0
62,2017-06-26,22150.0,,,24300.0
63,2017-06-27,24700.0,,,24850.0
64,2017-06-28,24900.0,,,24050.0
65,2017-06-29,24400.0,,,24100.0
66,2017-06-30,23500.0,,,23900.0
67,2017-07-03,24100.0,,,23200.0
68,2017-07-04,23350.0,,,22900.0
69,2017-07-05,22900.0,,,24250.0
70,2017-07-06,24500.0,,,23900.0
71,2017-07-07,23900.0,,,23900.0
72,2017-07-10,24200.0,,,24150.0
73,2017-07-11,24750.0,,,24850.0
74,2017-07-12,25100.0,,,24300.0
75,2017-07-13,24400.0,,,23200.0
76,2017-07-14,24100.0,,,23550.0
77,2017-07-17,23750.0,,,24300.0
78,2017-07-18,24300.0,,,25850.0
79,2017-07-19,26000.0,,,25650.0
80,2017-07-20,25800.0,,,25650.0
81,2017-07-21,25850.0,,,26000.0
82,2017-07-24,26250.0,,,26650.0
83,2017-07-25,26950.0,,,26700.0
84,2017-07-26,26800.0,,,25600.0
