Datetime,Open,High,Low,Close,Volume
2019-01-01 00:00:00,6.11390000,6.12280000,6.04000000,6.04250000,107694.23000000
2019-01-01 01:00:00,6.04100000,6.05040000,5.97010000,5.98210000,75492.48000000
2019-01-01 02:00:00,5.98220000,6.04740000,5.90000000,5.93510000,110324.38000000
2019-01-01 03:00:00,5.93170000,5.93990000,5.85000000,5.86480000,85515.89000000
2019-01-01 04:00:00,5.86010000,5.93030000,5.85000000,5.91750000,83711.97000000
2019-01-01 05:00:00,5.90800000,5.93750000,5.90010000,5.93430000,22100.01000000
2019-01-01 06:00:00,5.93370000,5.95460000,5.92370000,5.95030000,60346.84000000
2019-01-01 07:00:00,5.94390000,5.97070000,5.94000000,5.95310000,54203.82000000
2019-01-01 08:00:00,5.95170000,5.96960000,5.92630000,5.93680000,69682.76000000
2019-01-01 09:00:00,5.93420000,5.94290000,5.88080000,5.88950000,91499.85000000
2019-01-01 10:00:00,5.88960000,5.94660000,5.88610000,5.94390000,27489.17000000
2019-01-01 11:00:00,5.94400000,5.97900000,5.93930000,5.95920000,56851.64000000
2019-01-01 12:00:00,5.96020000,5.96460000,5.91360000,5.95270000,41684.68000000
2019-01-01 13:00:00,5.94650000,5.97930000,5.92860000,5.94750000,40334.98000000
2019-01-01 14:00:00,5.94080000,5.94570000,5.88870000,5.89480000,33918.03000000
2019-01-01 15:00:00,5.89420000,5.89480000,5.80000000,5.83070000,68810.36000000
2019-01-01 16:00:00,5.83530000,5.83950000,5.80010000,5.83690000,25082.52000000
2019-01-01 17:00:00,5.83980000,5.88150000,5.82830000,5.84530000,24602.47000000
2019-01-01 18:00:00,5.84570000,5.84570000,5.77350000,5.81090000,35445.30000000
2019-01-01 19:00:00,5.80110000,5.86250000,5.80100000,5.85400000,39788.54000000
2019-01-01 20:00:00,5.85140000,5.92710000,5.84130000,5.90000000,69170.94000000
2019-01-01 21:00:00,5.90410000,5.94510000,5.86200000,5.89260000,52729.13000000
2019-01-01 22:00:00,5.89280000,5.91760000,5.85360000,5.91480000,40377.54000000
2019-01-01 23:00:00,5.91480000,5.99390000,5.90060000,5.99100000,96056.65000000
